ÝLÇE ADI;MAHALLE ADI;TARIMSAL SULAMA SUYU
Seydiþehir;KIZILCA;VAR
Seydiþehir;KOZLU;VAR
Seydiþehir;KUMLUCA;VAR
Seydiþehir;KURAN;VAR
Seydiþehir;MADENLÝ;YOK
Seydiþehir;MESUDÝYE;VAR
Seydiþehir;MURADÝYE;VAR
Seydiþehir;OÐLAKÇI;VAR
Seydiþehir;ORTAKARAÖREN;VAR
Seydiþehir;SARAYCIK;VAR
Seydiþehir;SUSUZ;VAR
Seydiþehir;TARAÞÇI;VAR
Seydiþehir;TAÞAÐIL;VAR
Seydiþehir;TEPECÝK;YOK
Seydiþehir;TOL;VAR
Seydiþehir;UFACIK;YOK
Seydiþehir;YAYLACIK;VAR
Seydiþehir;YENÝCE;VAR
Taþkent;AFÞAR;VAR
Taþkent;BALCILAR;VAR
Taþkent;BOLAY;VAR
Taþkent;ÇETMÝ;VAR
Taþkent;KECÝMEN;VAR
Taþkent;KONGUL;VAR
Taþkent;SAZAK;VAR
Taþkent;ILICAPINAR;VAR
Tuzlukçu;KONARI;YOK
Tuzlukçu;MEVLÜTLÜ;YOK
Tuzlukçu;KORAÞI;YOK
Tuzlukçu;ÇÖÐÜRLÜ;VAR
Tuzlukçu;TURSUNLU;VAR
Tuzlukçu;KUNDULLU;VAR
Tuzlukçu;PAZARKAYA;YOK
Tuzlukçu;SUBATAN;VAR
Tuzlukçu;GÜRSU;VAR
Tuzlukçu;ERDOÐDU;VAR
Tuzlukçu;KÖKLÜCE;VAR
Yalýhüyük;SARAY;YOK
Yalýhüyük;ARASÖÐÜT;YOK
Yunak;KUZÖREN;VAR
Yunak;KOÇYAZI;VAR
Yunak;TURGUT;VAR
Yunak;PÝRÝBEYLÝ;YOK
Yunak;SÜLÜKLÜ;VAR
Yunak;ALTINÖZ;VAR
Yunak;AYRITEPE;YOK
Yunak;BEÞIÞIKLI;VAR
Yunak;CEBRAÝL;YOK
Yunak;ÇAYIRBAÞI;VAR
Yunak;EÐRÝKUYU;VAR
Yunak;HACIÖMEROÐLU;VAR
Yunak;HATIRLI;VAR
Yunak;HACIFAKILI;VAR
Yunak;HARUNLAR;YOK
Yunak;HURSUNLU;VAR
Yunak;ÝMAMOÐLU;VAR
Yunak;KARGALI;YOK
Yunak;KARAYAYLA;VAR
Yunak;KILLAR;VAR
Yunak;KURTUÞAÐI;YOK
Yunak;KUYUBAÞI;VAR
Yunak;MEÞELÝK;YOK
Yunak;ODABAÞI;VAR
Yunak;ORTAKIÞLA;VAR
Yunak;ÖZYAYLA;VAR
Yunak;SERTLER;VAR
Yunak;SEVÝNÇ;YOK
Yunak;SIRAM;YOK
Yunak;SÝNANLI;VAR
Yunak;YAVAÞLI;VAR
Yunak;YEÞÝLOBA;VAR
Yunak;YEÞÝLYAYLA;VAR
Yunak;YIÐAR;VAR
Yunak;SARAY;VAR
;;
