ÝLÇE ADI;MAHALLE ADI;DOÐRUDAN SATIN ALINABÝLECEK ÜRÜNLER
Doðanhisar;GÜVENDÝK;NOHUT, BUÐDAY, ARPA, ÇÝLEK, VÝÞNE, TERMÝYE
Doðanhisar;ÝLYASLAR;DOMATES, SALATALIK, ÇÝLEK, BÝBER, SOÐAN, VÝÞNE
Doðanhisar;KARAAÐA;ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY, HAÞHAÞ, ARPA, MERCÝMEK, FASULYE
Doðanhisar;KEMER;BUÐDAY, ARPA, KÝRAZ, VÝÞNE
Doðanhisar;KOÇAÞ;NOHUT, BUÐDAY, ARPA, MERCÝMEK
Doðanhisar;KONAKKALE;PATATES, DOMATES, ÇÝLEK, VÝÞNE, FASULYE
Doðanhisar;TEKKE;MISIR, NOHUT, BUÐDAY, ELMA, KÝRAZ, VÝÞNE, FASULYE
Doðanhisar;UNCULAR;MISIR, NOHUT, BUÐDAY, YONCA, HAÞHAÞ, FÝÐ, ARPA, KÝRAZ, ÇÝLEK
Doðanhisar;YAZIR;NOHUT, BUÐDAY, HAÞHAÞ, ARPA, FASULYE
Doðanhisar;YENÝCE;ÞEKER PANCARI, NOHUT, BUÐDAY, ELMA, ÜZÜM, YONCA, FÝÐ, ARPA, ÇÝLEK, VÝÞNE
Emirgazi;EKÝZLÝ;NOHUT, BUÐDAY, ÜZÜM, ARPA, KÜLTÜR MANTARI
Emirgazi;AKMESCÝT;MISIR, NOHUT, BUÐDAY, ARPA, ÇAVDAR
Emirgazi;BESCÝ;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, ARPA, ÇAVDAR
Emirgazi;DEMÝRCÝ;MISIR, BUÐDAY, YONCA, DOMATES, ARPA, ÇAVDAR, FASULYE
Emirgazi;GÖLÖREN;NOHUT, BUÐDAY, ARPA, ÇAVDAR, ERÝK, KAYISI
Emirgazi;IÞIKLAR;MISIR, BUÐDAY, YONCA, ARPA
Emirgazi;KARAÖREN;NOHUT, BUÐDAY, DOMATES, ARPA, BÝBER, ÇAVDAR
Emirgazi;MEÞELÝ;MISIR, NOHUT, BUÐDAY, ARPA, MERCÝMEK, ÇAVDAR
Emirgazi;ÖBEKTAÞ;BUÐDAY, ÜZÜM, ARPA
Emirgazi;YAMAÇ;MISIR, BUÐDAY, YONCA, ARPA
Ereðli;ZENGEN;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, ARPA
Ereðli;ACIPINAR;MISIR, ÞEKER PANCARI, BUÐDAY, FÝÐ, ARPA, AYÇÝÇEÐÝ
Ereðli;ADABAÐ;BUÐDAY, YONCA, ARPA, AYÇÝÇEÐÝ
Ereðli;AKHÜYÜK;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, FÝÐ, AYÇÝÇEÐÝ
Ereðli;ALHAN;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, ARPA
Ereðli;AÞAÐI GÖNDELEN;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Ereðli;AÞIKLAR;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, ÇAVDAR
Ereðli;AZÝZÝYE;MISIR, DOMATES, KAVUN, BÝBER, KARPUZ, PATLICAN
Ereðli;BAHÇELÝ;MISIR, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Ereðli;BELCEAÐAÇ;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA
Ereðli;BELKAYA;MISIR, BUÐDAY, YONCA, DOMATES, ARPA, AYÇÝÇEÐÝ, KAVUN, KARPUZ
Ereðli;BEYKÖY;MISIR, ÞEKER PANCARI, BUÐDAY, AYÇÝÇEÐÝ
Ereðli;BEYÖREN;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, SÝYAH HAVUÇ
Ereðli;BULGURLUK;ÞEKER PANCARI, NOHUT, BUÐDAY, AYÇÝÇEÐÝ, KAVUN, FASULYE, KARPUZ
Ereðli;BURHANÝYE;MISIR, BUÐDAY, DOMATES, SALATALIK, ARPA, KÝRAZ
Ereðli;BÜYÜKDEDE;MISIR, BUÐDAY, ELMA, ÞEFTALÝ, ARPA, KÝRAZ, CEVÝZ, VÝÞNE, FASULYE
Ereðli;ÇAKMAK;MISIR, BUÐDAY, ARPA
Ereðli;ÇAYHAN;NOHUT, BUÐDAY, ÜZÜM, ARPA, KÝRAZ, KÝMYON, ERÝK, KAYISI
Ereðli;ÇÝLLER;DOMATES, KAVUN, BÝBER, KARPUZ
Ereðli;ÇÝMENCÝK;MISIR, NOHUT, BUÐDAY, YONCA, ARPA, FASULYE
Ereðli;GAYBÝ;NOHUT, BUÐDAY, ARPA, KÝRAZ, VÝÞNE
Ereðli;GÖKÇEYAZI;MISIR, ÜZÜM, YONCA, KÝRAZ
Ereðli;GÖKTÖME;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Ereðli;HACIMEMÝÞ;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, DOMATES, ARPA, KÝRAZ
Ereðli;KAMIÞLIKUYU;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA
Ereðli;KARABURUN;MISIR, BUÐDAY, ARPA, AYÇÝÇEÐÝ, KAYISI
Ereðli;KARGACI;MISIR, ÞEKER PANCARI, BUÐDAY, DOMATES, ARPA, AYÇÝÇEÐÝ, FASULYE
Ereðli;KIZILGEDÝK;BUÐDAY, ARPA, BADEM
Ereðli;KUSKUNCUK;MISIR, ÞEKER PANCARI, BUÐDAY, ELMA, ARPA, AYÇÝÇEÐÝ
Ereðli;KUTÖREN;MISIR, BUÐDAY, ELMA, DOMATES, ARPA, HAVUÇ
Ereðli;KUZUKUYU;MISIR, ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA, KAVUN
Ereðli;MELÝCEK;MISIR, NOHUT, BUÐDAY, ARPA, FASULYE
Ereðli;ORHANÝYE;MISIR, BUÐDAY, ELMA, ARPA, KÝRAZ, VÝÞNE
Ereðli;ÖZGÜRLER;MISIR, ÞEKER PANCARI, BUÐDAY
Ereðli;PINARÖZÜ;MISIR, ÞEKER PANCARI, BUÐDAY, DOMATES, SALATALIK, ARPA
Ereðli;SARICA;ELMA, KÝRAZ, VÝÞNE
Ereðli;SARITOPALLI;MISIR, DOMATES, SALATALIK
Ereðli;SELVÝLÝ;MISIR, ÞEKER PANCARI, HAVUÇ, GÜL
Ereðli;TAÞAÐIL;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, FÝÐ, ARPA
Ereðli;TAÞBUDAK;MISIR, BUÐDAY, YONCA, DOMATES, ARPA
Ereðli;TATLIKUYU;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Ereðli;TÜRKMEN;MISIR, ÞEKER PANCARI, FÝÐ, AYÇÝÇEÐÝ
Ereðli;ULUMEÞE;MISIR, BUÐDAY, ARPA, FASULYE, KAYISI
Ereðli;YAZLIK;MISIR, ELMA, ÜZÜM, ÞEFTALÝ, KÝRAZ
Ereðli;YELLÝCE;MISIR, BUÐDAY, DOMATES, ARPA, KÝRAZ, ÇAVDAR
Ereðli;YENÝKÖY;MISIR, ÞEKER PANCARI, BUÐDAY, DOMATES, ARPA, KARPUZ
Ereðli;YILDIZLI;ELMA, DOMATES, ÞEFTALÝ, KÝRAZ, CEVÝZ, FASULYE, KAYISI, BEYAZ KÝRAZ
Ereðli;YUKARIGÖNDELEN;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA, AYÇÝÇEÐÝ, KAVUN, KARPUZ
Ereðli;HORTU;MISIR, ÞEKER PANCARI, BUÐDAY, DOMATES, SÝYAH HAVUÇ
Ereðli;ACIKUYU;MISIR, ÞEKER PANCARI, BUÐDAY, ELMA, DOMATES, ARPA, AYÇÝÇEÐÝ, KAVUN, KARPUZ
Güneysýnýr;GÜRAÐAÇ;NOHUT, BUÐDAY, ÜZÜM, ARPA
Güneysýnýr;AÐAÇOBA;BUÐDAY, ÜZÜM, ARPA, FASULYE
Güneysýnýr;ALANÖZÜ;MISIR, ÜZÜM, DOMATES, ARPA, KAVUN, FASULYE, KARPUZ
Güneysýnýr;AVCITEPE;NOHUT, BUÐDAY, YULAF, ARPA
Güneysýnýr;AYDOÐMUÞ;NOHUT, BUÐDAY, YULAF, ARPA
Güneysýnýr;HABÝLLER;NOHUT, BUÐDAY, ÜZÜM, ÞEFTALÝ, ARPA, KÝRAZ, ÇÝLEK
Güneysýnýr;KARAGÜNEY;PATATES, NOHUT, BUÐDAY, ÜZÜM, ARPA
Güneysýnýr;KAYAAÐZI;PATATES, NOHUT, BUÐDAY, FASULYE
Güneysýnýr;KIZILÖZ;NOHUT, BUÐDAY, DOMATES, ARPA
Güneysýnýr;KURUKAVAK;PATATES, BUÐDAY, ELMA, DOMATES, ARMUT, ERÝK
Güneysýnýr;MEHMET ALÝ;MISIR, PATATES, NOHUT, BUÐDAY, DOMATES, ARMUT, BÝBER, FASULYE, SARIMSAK
Güneysýnýr;ÖMEROÐLU;BUÐDAY, ÜZÜM, DOMATES, ARPA, KÝRAZ, ÇÝLEK
Güneysýnýr;ÖRENBOYALI;PATATES, BUÐDAY, ELMA, ARPA, FASULYE
Güneysýnýr;SARIHACI;ÜZÜM, ÞEFTALÝ, KÝRAZ
Hadim;AÞAÐIEÞENLER;ELMA, ÜZÜM, KÝRAZ, CEVÝZ
Hadim;AÞAÐIKIZILKAYA;BUÐDAY, KÝRAZ, FASULYE, SARIMSAK, KARADUT
Hadim;BADEMLÝ;ELMA, ÜZÜM, KÝRAZ, CEVÝZ
Hadim;BAÐBAÞI;ELMA, ÜZÜM, KÝRAZ, ERÝK, SARIMSAK
Hadim;BEYRELÝ;ELMA, DOMATES, KÝRAZ
Hadim;BOLAT;ELMA, ÜZÜM, KÝRAZ, ÇÝLEK
Hadim;ÇÝFTEPINAR;ELMA, ÜZÜM, ARMUT, ÞEFTALÝ, KÝRAZ
Hadim;DEDEMLÝ;ELMA, ÜZÜM, ARMUT, KÝRAZ
Hadim;DÜLGERLER;ÜZÜM, KÝRAZ, SARIMSAK
Hadim;FAKILAR;KÝRAZ
Hadim;GAZÝLER;ELMA, ÜZÜM, KÝRAZ
Hadim;GÖYNÜKKIÞLA;ELMA, ÜZÜM, KÝRAZ
Hadim;GÜLPINAR;KÝRAZ, ÇÝLEK
Hadim;ÝÐDEÖREN;KÝRAZ
Hadim;KALINAÐIL;ELMA, ÜZÜM, KÝRAZ
Hadim;KAPLANLI;ELMA, ÜZÜM, ARMUT, KÝRAZ
Hadim;GEZLEVÝ;PATATES, ELMA, DOMATES, KÝRAZ, ÇÝLEK
Hadim;KÜPLÜCE;ELMA, ÜZÜM, KÝRAZ
Hadim;ODUNCU;PATATES, DOMATES, SOÐAN, SARIMSAK
Hadim;SARNIÇ;KÝRAZ
Hadim;SELAHATTÝN;ELMA, ÜZÜM, KÝRAZ
Hadim;UMURLAR;ELMA, ÜZÜM, ÞEFTALÝ, KÝRAZ, CEVÝZ
Hadim;YAÐCI;ELMA, ÜZÜM, ÞEFTALÝ, KÝRAZ
Hadim;YALINÇEVRE;PATATES, ÜZÜM, KÝRAZ, FASULYE
Hadim;YELMEZ;ELMA, ÜZÜM, ÞEFTALÝ, KÝRAZ
Hadim;YENÝKONAK;ÜZÜM, KÝRAZ
Hadim;YUKARIEÞENLER;ÜZÜM, ÞEFTALÝ, KÝRAZ
Halkapýnar;ÝVRÝZ;KÝRAZ, CEVÝZ
Halkapýnar;BÜYÜKDOÐAN;ELMA, ÜZÜM, KÝRAZ, CEVÝZ
Halkapýnar;DEDELÝ;BUÐDAY, ELMA, KÝRAZ, CEVÝZ, VÝÞNE
Halkapýnar;DELÝMAHMUTLU;KÝRAZ, CEVÝZ
Halkapýnar;ESKÝHÝSAR;KÝRAZ
Halkapýnar;KARAYUSUFLU;ELMA, ARMUT, KÝRAZ, FASULYE
Halkapýnar;KAYASARAY;ELMA, ÜZÜM, KÝRAZ, VÝÞNE
Halkapýnar;KÖRLÜ;NOHUT, BUÐDAY, ÜZÜM, ARPA, KÝRAZ, CEVÝZ, VÝÞNE
Halkapýnar;KÜSERE;BUÐDAY, ARPA, KÝRAZ, CEVÝZ, VÝÞNE, ERÝK
Halkapýnar;OSMANKÖSELÝ;KÝRAZ, CEVÝZ
Halkapýnar;SEYDÝFAKILI;BUÐDAY, YULAF, ARPA
Halkapýnar;YASSIKAYA;PATATES, BUÐDAY, ARPA, KÝRAZ, FASULYE
Halkapýnar;YAYIKLI;PATATES, ELMA, ÜZÜM, DOMATES, KÝRAZ, CEVÝZ, FASULYE
Halkapýnar;YEÞÝLYURT;MISIR, BUÐDAY, ARPA, KÝRAZ, VÝÞNE
Halkapýnar;ÇAKILLAR;ELMA, KÝRAZ, ÇÝLEK, CEVÝZ
Hüyük;BAÞLAMIÞ;PATATES, ELMA, KÝRAZ, ÇÝLEK, VÝÞNE, FASULYE
Hüyük;BUDAK;NOHUT, BUÐDAY, ELMA, ARPA, KÝRAZ, MERCÝMEK, VÝÞNE, ERÝK
Hüyük;BURUNSUZ;NOHUT, BUÐDAY, ARPA, MERCÝMEK
Hüyük;ÇAMLICA;BUÐDAY, ARPA, AYÇÝÇEÐÝ, ÇÝLEK
Hüyük;ÇAVUÞ;ELMA, ARMUT, KÝRAZ, CEVÝZ, ERÝK
Hüyük;ÇUKURKENT;ÞEKER PANCARI, NOHUT, BUÐDAY, YULAF, ARPA, ÇÝLEK, MERCÝMEK
Hüyük;DEÐÝRMENALTI;NOHUT, ÇÝLEK, FASULYE
Hüyük;GÖÇERÝ;NOHUT, ÇÝLEK, MERCÝMEK
Hüyük;GÖRÜNMEZ;DOMATES, ÇÝLEK, CEVÝZ, BÝBER, SOÐAN
Hüyük;ÝLMEN;KÝRAZ, ÇÝLEK, CEVÝZ
Hüyük;ÝMRENLER;BUÐDAY, ARPA
Hüyük;KIRELÝ;ELMA, ARMUT, KÝRAZ, CEVÝZ, VÝÞNE, ERÝK
Hüyük;KÖÞK;BUÐDAY, ARPA, ÇÝLEK, CEVÝZ, VÝÞNE
Hüyük;MUTLU;BUÐDAY, ARPA, ÇÝLEK
Hüyük;PINARBAÞI;BUÐDAY, ELMA, YONCA, DOMATES, KÝRAZ, ÇÝLEK, FASULYE
Hüyük;SELKÝ;BUÐDAY, ARPA, ÇÝLEK
Hüyük;SULUDERE;BUÐDAY, ARPA, ÇÝLEK
Hüyük;TOLCA;BUÐDAY, HAÞHAÞ, ARPA
Hüyük;YENÝCE;ELMA, ARMUT, KÝRAZ, ÇÝLEK, VÝÞNE, KAYISI
Ilgýn;ARGITHANI;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, ASPÝR, YULAF, HAÞHAÞ, ÇEREZLÝK KABAK
Ilgýn;BEYKONAK;ÞEKER PANCARI, NOHUT, BUÐDAY, HAÞHAÞ, ARPA
Ilgýn;ÇAVUÞÇUGÖL;ÞEKER PANCARI, PATATES, BUÐDAY, ELMA, ASPÝR, HAÞHAÞ, DOMATES, ARPA, AYÇÝÇEÐÝ, ÇÖREK OTU, VÝÞNE, ÇEREZLÝK KABAK
Ilgýn;AÐALAR;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, HAÞHAÞ
Ilgýn;BALKI;BUÐDAY, YULAF, FÝÐ, ARPA
Ilgýn;BARAKMUSLU;BUÐDAY, HAÞHAÞ, ARPA, SOÐAN
Ilgýn;BELEKLER;PATATES, NOHUT, YULAF, ARPA
Ilgýn;BOÐAZKENT;BUÐDAY, ARPA
Ilgýn;BULCUK;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, ELMA, ARPA, AYÇÝÇEÐÝ
Ilgýn;BÜYÜKOBA;BUÐDAY, ARPA
Ilgýn;ÇÝÐÝL;ÞEKER PANCARI, PATATES, NOHUT, ELMA, ÇÝLEK, SOÐAN, FASULYE
Ilgýn;ÇATAK;NOHUT, BUÐDAY, ARPA
Ilgýn;ÇOBANKAYA;NOHUT, BUÐDAY, DOMATES, FÝÐ
Ilgýn;ÇÖMLEKCÝ;BUÐDAY, YULAF, ARPA
Ilgýn;DEREKÖY;BUÐDAY, ARPA
Ilgýn;DIÐRAK;NOHUT, ARPA, TERMÝYE
Ilgýn;DÜÐER;NOHUT, BUÐDAY, ARPA
Ilgýn;ELDEÞ;ÞEKER PANCARI, BUÐDAY, ARPA
Ilgýn;GEÇÝT;BUÐDAY, ASPÝR, HAÞHAÞ, ARPA, AYÇÝÇEÐÝ
Ilgýn;GEDÝKÖREN;MISIR, ÞEKER PANCARI, BUÐDAY, YULAF, ARPA
Ilgýn;GÖSTERE;PATATES, NOHUT, ELMA, YULAF, HAÞHAÞ, AYÇÝÇEÐÝ, SOÐAN, VÝÞNE
Ilgýn;GÖKÇEYURT;MISIR, PATATES, BUÐDAY, ELMA, YONCA, HAÞHAÞ, DOMATES, KÝRAZ
Ilgýn;GÖLYAKA;BUÐDAY, YULAF, ARPA
Ilgýn;GÖKBUDAK;PATATES, NOHUT, ÇÝLEK, FASULYE
Ilgýn;GÜNEYPINAR;BUÐDAY, YONCA, HAÞHAÞ, ARPA
Ilgýn;HARMANYAZI;PATATES, NOHUT, HAÞHAÞ, FASULYE
Ilgýn;ÝHSANÝYE;ÞEKER PANCARI, NOHUT, BUÐDAY, HAÞHAÞ, ARPA, MERCÝMEK, KÝMYON
Ilgýn;KAPAKLI;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA
Ilgýn;KARAKÖY;ÞEKER PANCARI, BUÐDAY, YULAF, FÝÐ, ARPA
Ilgýn;KALEKÖY;BUÐDAY, ARPA
Ilgýn;MAHMUTHÝSAR;NOHUT, FASULYE
Ilgýn;MECÝDÝYE;MISIR, ÞEKER PANCARI, BUÐDAY, ASPÝR, YULAF, HAÞHAÞ, FÝÐ, ARPA
Ilgýn;MÝSAFÝRLÝ;MISIR, YONCA, YULAF, ARPA
Ilgýn;OLUKPINAR;MISIR, BUÐDAY, YONCA, HAÞHAÞ, FÝÐ, ARPA
Ilgýn;ORHANÝYE;MISIR, YONCA, DOMATES, FÝÐ, BÝBER, PATLICAN
Ilgýn;ORMANÖZÜ;BUÐDAY, HAÞHAÞ, ARPA, AYÇÝÇEÐÝ, FASULYE
Ilgýn;SADIKKÖY;MISIR, ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA
Ilgýn;SEBÝLLER;BUÐDAY, HAÞHAÞ, ARPA
Ilgýn;TEKELER;BUÐDAY, YULAF, ARPA, ÇAVDAR
Ilgýn;YUKARIÇÝÐÝL;MISIR, ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ÇÝLEK
Ilgýn;YORAZLAR;ÞEKER PANCARI, BUÐDAY, ARPA
Ilgýn;ZAFERÝYE;MISIR, BUÐDAY, YONCA, HAÞHAÞ, ARPA
Ilgýn;AVDAN;NOHUT, BUÐDAY, ASPÝR, YULAF, ARPA
Kadýnhaný;OSMANCIK;MISIR, BUÐDAY, YONCA, FÝÐ, ARPA
Kadýnhaný;AFÞARLI;ÞEKER PANCARI, BUÐDAY, ARPA
Kadýnhaný;ALABAÐ;BUÐDAY, ARPA
Kadýnhaný;ATLANTI;ARPA, AYÇÝÇEÐÝ
Kadýnhaný;BAKIRPINAR;DOMATES, BÝBER, FASULYE
Kadýnhaný;BAÞKUYU;MISIR, BUÐDAY, ARPA
Kadýnhaný;BAYRAMLI;ÞEKER PANCARI, BUÐDAY, ARPA, FASULYE
Kadýnhaný;BEYKAVAÐI;KÝRAZ, ÇÝLEK, VÝÞNE
Kadýnhaný;BULGURPINAR;BUÐDAY, ARPA
Kadýnhaný;ÇAVDAR;ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Kadýnhaný;ÇEÞMECÝK;BUÐDAY, ARPA
Kadýnhaný;ÇUBUK;BUÐDAY, ARPA
Kadýnhaný;DEMÝROLUK;BUÐDAY, DOMATES, ARPA, FASULYE
Kadýnhaný;HACIMEHMETLÝ;ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Kadýnhaný;HACIOFLAZLAR;BUÐDAY, YONCA, ARPA
Kadýnhaný;HACIPÝRLÝ;NOHUT, BUÐDAY, ARPA, AYÇÝÇEÐÝ, FASULYE
Kadýnhaný;KABACALI;BUÐDAY, ARPA
Kadýnhaný;KAMIÞLIÖZÜ;MISIR, ÞEKER PANCARI, BUÐDAY, YULAF, ARPA
Kadýnhaný;KARAHÝSARLI;ÞEKER PANCARI, PATATES, BUÐDAY, ARPA
Kadýnhaný;KARAKURTLU;ÞEKER PANCARI, BUÐDAY, ARPA
Kadýnhaný;KARASEVÝNÇ;BUÐDAY, ARPA
Kadýnhaný;KARAYÜRÜKLÜ;ÞEKER PANCARI, BUÐDAY, ARPA, FASULYE
Kadýnhaný;KIZILKUYU;NOHUT, BUÐDAY, YULAF, ARPA
Kadýnhaný;KOLUKISA;MISIR, AYÇÝÇEÐÝ, FASULYE
Kadýnhaný;KONURÖREN;MISIR, ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA, AYÇÝÇEÐÝ
Kadýnhaný;KÖKEZ;ÞEKER PANCARI, BUÐDAY, ARPA, FASULYE
Kadýnhaný;KÖYLÜTOLU;NOHUT, BUÐDAY, ARPA
Kadýnhaný;KURTHASANLI;ÞEKER PANCARI, BUÐDAY, ARPA
Kadýnhaný;KÜÇÜKKUYU;NOHUT, BUÐDAY, DOMATES, ARPA, BÝBER
Kadýnhaný;MAHMUDÝYE;ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA
Kadýnhaný;MEYDANLI;ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA
Kadýnhaný;ÖRNEK;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Kadýnhaný;PÝRALÝ;BUÐDAY, ARPA
Kadýnhaný;PUSAT;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA, KÝMYON
Kadýnhaný;SAÇIKARA;MISIR, PATATES, NOHUT, ARPA, AYÇÝÇEÐÝ, BÝBER, SOÐAN
Kadýnhaný;SARIKAYA;BUÐDAY, ARPA
Kadýnhaný;SÖÐÜTÖZÜ;MISIR, NOHUT, BUÐDAY, ARPA, FASULYE
Kadýnhaný;ÞAHÖREN;PATATES, BUÐDAY, ARPA
Kadýnhaný;TOSUNOÐLU;ÞEKER PANCARI, BUÐDAY, ARPA
Kadýnhaný;YAÐLICA;BUÐDAY, ARPA
Kadýnhaný;YAYLAYAKA;NOHUT, BUÐDAY, ARPA, FASULYE
Karapýnar;HOTAMIÞ;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karapýnar;KESMEZ;BUÐDAY, ARPA, KAVUN, KARPUZ, HIRTLAK
Karapýnar;AKÇAYAZI;BUÐDAY, ARPA
Karapýnar;AKÖREN;MISIR, BUÐDAY, YONCA, DOMATES, KAVUN, SÝYAH HAVUÇ, KARPUZ
Karapýnar;ÇÝÐÝL;MISIR, ÞEKER PANCARI, PATATES, BUÐDAY, AYÇÝÇEÐÝ
Karapýnar;HASANOBA;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karapýnar;ÝSLÝK;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karapýnar;KARAKIÞLA;MISIR, ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY, ARPA, FASULYE
Karapýnar;KAYACIK;MISIR, ÞEKER PANCARI, ELMA, AYÇÝÇEÐÝ, KÝRAZ, CEVÝZ, ÇAVDAR, VÝÞNE, ERÝK
Karapýnar;KAYALI;ÞEKER PANCARI, BUÐDAY, YONCA, ARPA, KORUNGA
Karapýnar;KAZANHÜYÜÐÜ;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, ARPA
Karapýnar;KÜÇÜKAÞLAMA;MISIR, ÞEKER PANCARI, BUÐDAY, AYÇÝÇEÐÝ
Karapýnar;ORTAOBA;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karapýnar;OYMALI;BUÐDAY, DOMATES, ARPA, HAVUÇ
Karapýnar;SAZLIPINAR;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, ARPA, AYÇÝÇEÐÝ
Karapýnar;YAÐMAPINAR;DOMATES, BÝBER
Karapýnar;YENÝKUYU;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karapýnar;YEÞÝLYURT;BUÐDAY, YONCA, ARPA, SARIMSAK
Karatay;YARMA;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karatay;ACIDORT;BUÐDAY, YONCA, AYÇÝÇEÐÝ
Karatay;AÐSAKLI;MISIR, PATATES, BUÐDAY, YONCA, YULAF, ARPA, AYÇÝÇEÐÝ, ÇAVDAR
Karatay;AKBAÞ;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karatay;AKÖRENKIÞLA;MISIR, ÞEKER PANCARI, PATATES, YONCA, FÝÐ, AYÇÝÇEÐÝ
Karatay;BAKIRTOLU;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, AYÇÝÇEÐÝ
Karatay;BAÞGÖTÜREN;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karatay;BEÞAÐIL;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karatay;BÜYÜKBURNAK;ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karatay;ÇENGÝLTÝ;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, ARPA, AYÇÝÇEÐÝ
Karatay;DÝVANLAR;BUÐDAY, YONCA, ARPA
Karatay;ESENTEPE;MISIR, ÞEKER PANCARI, BUÐDAY, AYÇÝÇEÐÝ
Karatay;GÖÇÜ;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, ARPA, AYÇÝÇEÐÝ
Karatay;HAYIROÐLU MERKEZ;MISIR, ÞEKER PANCARI, BUÐDAY, AYÇÝÇEÐÝ
Karatay;ÝPEKLER;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karatay;ÝSMÝL;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ, ÇEREZLÝK KABAK
Karatay;KARADONA;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA
Karatay;KARAKAYA;BUÐDAY, ARPA
Karatay;KATRANCI;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karatay;KIZÖREN;MISIR, BUÐDAY, YULAF, ARPA, AYÇÝÇEÐÝ
Karatay;KÖSEALÝ;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karatay;OBRUK;MISIR, ÞEKER PANCARI, NOHUT, YONCA, FÝÐ, ARPA, AYÇÝÇEÐÝ
Karatay;OVAKAVAÐI;MISIR, ÞEKER PANCARI, BUÐDAY, AYÇÝÇEÐÝ
Karatay;SAKYATAN;MISIR, BUÐDAY, YONCA, ARPA, AYÇÝÇEÐÝ
Karatay;SÜRÜÇ;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karatay;ÞATIR;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karatay;YAÐLIBAYAT;ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Karatay;YAVÞANKUYU;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ, FASULYE
