ÝLÇE ADI;MAHALLE ADI;DEVLETÝN VERMÝÞ OLDUÐU DESTEKLERDEN FAYDALANMA ÇEÞÝTLERÝ
Güneysýnýr;AÐAÇOBA;DOÐRUDAN GELÝR , KÜÇÜKBAÞ HAYVAN
Güneysýnýr;ALANÖZÜ;MAZOT-GÜBRE
Güneysýnýr;AVCITEPE;MAZOT-GÜBRE, HUBUBAT
Güneysýnýr;AYDOÐMUÞ;MAZOT-GÜBRE
Güneysýnýr;HABÝLLER;MAZOT-GÜBRE, YEM BÝTKÝLERÝ
Güneysýnýr;KARAGÜNEY;MAZOT-GÜBRE
Güneysýnýr;KAYAAÐZI;MAZOT-GÜBRE, FÝDE-FÝDAN
Güneysýnýr;KIZILÖZ;MAZOT-GÜBRE, FÝDE-FÝDAN
Güneysýnýr;KURUKAVAK;MAZOT-GÜBRE
Güneysýnýr;MEHMET ALÝ;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, HUBUBAT, SÜT, BUZAÐI
Güneysýnýr;ÖMEROÐLU;MAZOT-GÜBRE, FÝDE-FÝDAN
Güneysýnýr;ÖRENBOYALI;MAZOT-GÜBRE, SÜT, GENÇ ÇÝFTÇÝ
Güneysýnýr;SARIHACI;FÝDE-FÝDAN
Hadim;AÞAÐIEÞENLER;MAZOT-GÜBRE, FÝDE-FÝDAN, GENÇ ÇÝFTÇÝ
Hadim;AÞAÐIKIZILKAYA;YOK
Hadim;BADEMLÝ;MAZOT-GÜBRE, FÝDE-FÝDAN
Hadim;BAÐBAÞI;BUZAÐI, GENÇ ÇÝFTÇÝ
Hadim;BEYRELÝ;YOK
Hadim;BOLAT;FÝDE-FÝDAN, DOÐRUDAN GELÝR
Hadim;ÇÝFTEPINAR;MAZOT-GÜBRE
Hadim;DEDEMLÝ;MAZOT-GÜBRE
Hadim;DÜLGERLER;MAZOT-GÜBRE
Hadim;FAKILAR;YOK
Hadim;GAZÝLER;MAZOT-GÜBRE, FÝDE-FÝDAN
Hadim;GÖYNÜKKIÞLA;FÝDE-FÝDAN
Hadim;GÜLPINAR;MAZOT-GÜBRE, SULAMA SÝSTEMLERÝ, SÜT, GENÇ ÇÝFTÇÝ
Hadim;ÝÐDEÖREN;YOK
Hadim;KALINAÐIL;MAZOT-GÜBRE, FÝDE-FÝDAN, BUZAÐI
Hadim;KAPLANLI;MAZOT-GÜBRE, FÝDE-FÝDAN
Hadim;GEZLEVÝ;FÝDE-FÝDAN
Hadim;KÜPLÜCE;FÝDE-FÝDAN, DOÐRUDAN GELÝR
Hadim;ODUNCU;YOK
Hadim;SARNIÇ;BUZAÐI, KÜÇÜKBAÞ HAYVAN
Hadim;SELAHATTÝN;MAZOT-GÜBRE, FÝDE-FÝDAN
Hadim;UMURLAR;YOK
Hadim;YAÐCI;FÝDE-FÝDAN
Hadim;YALINÇEVRE;MAZOT-GÜBRE, FÝDE-FÝDAN
Hadim;YELMEZ;MAZOT-GÜBRE, FÝDE-FÝDAN
Hadim;YENÝKONAK;MAZOT-GÜBRE
Hadim;YUKARIEÞENLER;FÝDE-FÝDAN
Halkapýnar;ÝVRÝZ;YOK
Halkapýnar;BÜYÜKDOÐAN;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Halkapýnar;DEDELÝ;MAZOT-GÜBRE, SÜT, BUZAÐI
Halkapýnar;DELÝMAHMUTLU;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, BUZAÐI, GENÇ ÇÝFTÇÝ, KÜÇÜKBAÞ HAYVAN
Halkapýnar;ESKÝHÝSAR;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR
Halkapýnar;KARAYUSUFLU;YOK
Halkapýnar;KAYASARAY;MAZOT-GÜBRE, BUZAÐI
Halkapýnar;KÖRLÜ;MAZOT-GÜBRE, SÜT, BUZAÐI
Halkapýnar;KÜSERE;MAZOT-GÜBRE, SÜT, BUZAÐI, GENÇ ÇÝFTÇÝ
Halkapýnar;OSMANKÖSELÝ;MAZOT-GÜBRE, HUBUBAT, SÜT
Halkapýnar;SEYDÝFAKILI;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Halkapýnar;YASSIKAYA;MAZOT-GÜBRE, SÜT, YEM
Halkapýnar;YAYIKLI;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Halkapýnar;YEÞÝLYURT;MAZOT-GÜBRE, SÜT
Halkapýnar;ÇAKILLAR;MAZOT-GÜBRE
Hüyük;BAÞLAMIÞ;MAZOT-GÜBRE, FÝDE-FÝDAN, DOÐRUDAN GELÝR
Hüyük;BUDAK;MAZOT-GÜBRE, FÝDE-FÝDAN, DOÐRUDAN GELÝR , BUZAÐI
Hüyük;BURUNSUZ;MAZOT-GÜBRE, FÝDE-FÝDAN, DOÐRUDAN GELÝR
Hüyük;ÇAMLICA;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Hüyük;ÇAVUÞ;MAZOT-GÜBRE, GÜBRE, FÝDE-FÝDAN, SERTÝFÝKALI TOHUM
Hüyük;ÇUKURKENT;MAZOT-GÜBRE, SÜT, BUZAÐI
Hüyük;DEÐÝRMENALTI;MAZOT-GÜBRE, SULAMA SÝSTEMLERÝ
Hüyük;GÖÇERÝ;MAZOT-GÜBRE, FÝDE-FÝDAN
Hüyük;GÖRÜNMEZ;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Hüyük;ÝLMEN;FÝDE-FÝDAN
Hüyük;ÝMRENLER;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, DOÐRUDAN GELÝR
Hüyük;KIRELÝ;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, DOÐRUDAN GELÝR
Hüyük;KÖÞK;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, DOÐRUDAN GELÝR
Hüyük;MUTLU;MAZOT-GÜBRE, FÝDE-FÝDAN
Hüyük;PINARBAÞI;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, YEM, DOÐRUDAN GELÝR
Hüyük;SELKÝ;MAZOT-GÜBRE, FÝDE-FÝDAN
Hüyük;SULUDERE;MAZOT-GÜBRE, FÝDE-FÝDAN, DOÐRUDAN GELÝR , BUZAÐI
Hüyük;TOLCA;MAZOT-GÜBRE, FÝDE-FÝDAN, DOÐRUDAN GELÝR
Hüyük;YENÝCE;MAZOT-GÜBRE, SULAMA SÝSTEMLERÝ, SÜT, DOÐRUDAN GELÝR
Ilgýn;ARGITHANI;YEM BÝTKÝLERÝ, SÜT, BUZAÐI, SERTÝFÝKALI TOHUM
Ilgýn;BEYKONAK;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Ilgýn;ÇAVUÞÇUGÖL;FÝDE-FÝDAN
Ilgýn;AÐALAR;MAZOT-GÜBRE, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Ilgýn;BALKI;MAZOT-GÜBRE, BUZAÐI
Ilgýn;BARAKMUSLU;MAZOT-GÜBRE, BUZAÐI
Ilgýn;BELEKLER;MAZOT-GÜBRE, SÜT, BUZAÐI, SERTÝFÝKALI TOHUM
Ilgýn;BOÐAZKENT;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Ilgýn;BULCUK;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, FÝDE-FÝDAN, DOÐRUDAN GELÝR
Ilgýn;BÜYÜKOBA;MAZOT-GÜBRE, BUZAÐI, KÜÇÜKBAÞ HAYVAN
Ilgýn;ÇÝÐÝL;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Ilgýn;ÇATAK;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Ilgýn;ÇOBANKAYA;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Ilgýn;ÇÖMLEKCÝ;MAZOT-GÜBRE, SÜT
Ilgýn;DEREKÖY;MAZOT-GÜBRE
Ilgýn;DIÐRAK;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR
Ilgýn;DÜÐER;MAZOT-GÜBRE
Ilgýn;ELDEÞ;SÜT, YEM, DOÐRUDAN GELÝR
Ilgýn;GEÇÝT;MAZOT-GÜBRE, HUBUBAT, SÜT, BUZAÐI
Ilgýn;GEDÝKÖREN;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR
Ilgýn;GÖSTERE;MAZOT-GÜBRE, HUBUBAT, SÜT, DOÐRUDAN GELÝR
Ilgýn;GÖKÇEYURT;MAZOT-GÜBRE, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Ilgýn;GÖLYAKA;MAZOT-GÜBRE, HUBUBAT, SÜT, DOÐRUDAN GELÝR
Ilgýn;GÖKBUDAK;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, DOÐRUDAN GELÝR , BUZAÐI
Ilgýn;GÜNEYPINAR;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Ilgýn;HARMANYAZI;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI, SERTÝFÝKALI TOHUM
Ilgýn;ÝHSANÝYE;MAZOT-GÜBRE
Ilgýn;KAPAKLI;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, SÜT, BUZAÐI
Ilgýn;KARAKÖY;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI, SERTÝFÝKALI TOHUM
Ilgýn;KALEKÖY;MAZOT-GÜBRE
Ilgýn;MAHMUTHÝSAR;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Ilgýn;MECÝDÝYE;MAZOT-GÜBRE, SÜT, YEM, DOÐRUDAN GELÝR
Ilgýn;MÝSAFÝRLÝ;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR
Ilgýn;OLUKPINAR;MAZOT-GÜBRE, SÜT, YEM, DOÐRUDAN GELÝR
Ilgýn;ORHANÝYE;MAZOT-GÜBRE
Ilgýn;ORMANÖZÜ;MAZOT-GÜBRE, SÜT, BUZAÐI
Ilgýn;SADIKKÖY;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Ilgýn;SEBÝLLER;MAZOT-GÜBRE
Ilgýn;TEKELER;MAZOT-GÜBRE, BUZAÐI, SERTÝFÝKALI TOHUM, KÜÇÜKBAÞ HAYVAN
Ilgýn;YUKARIÇÝÐÝL;MAZOT-GÜBRE
Ilgýn;YORAZLAR;YEM BÝTKÝLERÝ, SERTÝFÝKALI TOHUM
Ilgýn;ZAFERÝYE;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, DOÐRUDAN GELÝR
Ilgýn;AVDAN;MAZOT-GÜBRE, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Kadýnhaný;OSMANCIK;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Kadýnhaný;AFÞARLI;MAZOT-GÜBRE
Kadýnhaný;ALABAÐ;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, YEM, BUZAÐI
Kadýnhaný;ATLANTI;MAZOT-GÜBRE
Kadýnhaný;BAKIRPINAR;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Kadýnhaný;BAÞKUYU;MAZOT-GÜBRE
Kadýnhaný;BAYRAMLI;MAZOT-GÜBRE
Kadýnhaný;BEYKAVAÐI;MAZOT-GÜBRE, FÝDE-FÝDAN
Kadýnhaný;BULGURPINAR;MAZOT-GÜBRE
Kadýnhaný;ÇAVDAR;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI, SERTÝFÝKALI TOHUM
Kadýnhaný;ÇEÞMECÝK;YOK
Kadýnhaný;ÇUBUK;MAZOT-GÜBRE, SÜT, BUZAÐI
Kadýnhaný;DEMÝROLUK;MAZOT-GÜBRE, FÝDE-FÝDAN
Kadýnhaný;HACIMEHMETLÝ;MAZOT-GÜBRE
Kadýnhaný;HACIOFLAZLAR;MAZOT-GÜBRE
Kadýnhaný;HACIPÝRLÝ;MAZOT-GÜBRE, SERTÝFÝKALI TOHUM
Kadýnhaný;KABACALI;MAZOT-GÜBRE
Kadýnhaný;KAMIÞLIÖZÜ;MAZOT-GÜBRE, SÜT
Kadýnhaný;KARAHÝSARLI;MAZOT-GÜBRE
Kadýnhaný;KARAKURTLU;MAZOT-GÜBRE
Kadýnhaný;KARASEVÝNÇ;FÝDE-FÝDAN, SÜT
Kadýnhaný;KARAYÜRÜKLÜ;MAZOT-GÜBRE
Kadýnhaný;KIZILKUYU;MAZOT-GÜBRE
Kadýnhaný;KOLUKISA;MAZOT-GÜBRE, HUBUBAT
Kadýnhaný;KONURÖREN;MAZOT-GÜBRE
Kadýnhaný;KÖKEZ;YOK
Kadýnhaný;KÖYLÜTOLU;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, BUZAÐI
Kadýnhaný;KURTHASANLI;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Kadýnhaný;KÜÇÜKKUYU;MAZOT-GÜBRE
Kadýnhaný;MAHMUDÝYE;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Kadýnhaný;MEYDANLI;MAZOT-GÜBRE
Kadýnhaný;ÖRNEK;MAZOT-GÜBRE, FÝDE-FÝDAN, BUZAÐI
Kadýnhaný;PÝRALÝ;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Kadýnhaný;PUSAT;MAZOT-GÜBRE, SÜT, YEM, DOÐRUDAN GELÝR
Kadýnhaný;SAÇIKARA;YEM, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Kadýnhaný;SARIKAYA;MAZOT-GÜBRE
Kadýnhaný;SÖÐÜTÖZÜ;MAZOT-GÜBRE
Kadýnhaný;ÞAHÖREN;MAZOT-GÜBRE
Kadýnhaný;TOSUNOÐLU;YOK
Kadýnhaný;YAÐLICA;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, SÜT, YEM, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Kadýnhaný;YAYLAYAKA;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Karapýnar;HOTAMIÞ;MAZOT-GÜBRE, BUZAÐI
Karapýnar;KESMEZ;MAZOT-GÜBRE
Karapýnar;AKÇAYAZI;MAZOT-GÜBRE
Karapýnar;AKÖREN;MAZOT-GÜBRE, SULAMA SÝSTEMLERÝ, FÝDE-FÝDAN
Karapýnar;ÇÝÐÝL;MAZOT-GÜBRE
Karapýnar;HASANOBA;MAZOT-GÜBRE, SULAMA SÝSTEMLERÝ, BUZAÐI
Karapýnar;ÝSLÝK;MAZOT-GÜBRE
Karapýnar;KARAKIÞLA;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR
Karapýnar;KAYACIK;MAZOT-GÜBRE, GENÇ ÇÝFTÇÝ, KÜÇÜKBAÞ HAYVAN
Karapýnar;KAYALI;MAZOT-GÜBRE, SÜT, YEM
Karapýnar;KAZANHÜYÜÐÜ;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, HUBUBAT, DOÐRUDAN GELÝR
Karapýnar;KÜÇÜKAÞLAMA;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Karapýnar;ORTAOBA;MAZOT-GÜBRE
Karapýnar;OYMALI;MAZOT-GÜBRE
Karapýnar;SAZLIPINAR;MAZOT-GÜBRE
Karapýnar;YAÐMAPINAR;MAZOT-GÜBRE
Karapýnar;YENÝKUYU;MAZOT-GÜBRE
Karapýnar;YEÞÝLYURT;MAZOT-GÜBRE, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Karatay;YARMA;MAZOT-GÜBRE
Karatay;ACIDORT;MAZOT-GÜBRE, YEM BÝTKÝLERÝ
Karatay;AÐSAKLI;MAZOT-GÜBRE, HUBUBAT, SERTÝFÝKALI TOHUM
Karatay;AKBAÞ;MAZOT-GÜBRE
Karatay;AKÖRENKIÞLA;MAZOT-GÜBRE, HUBUBAT, SERTÝFÝKALI TOHUM
Karatay;BAKIRTOLU;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, HUBUBAT
Karatay;BAÞGÖTÜREN;MAZOT-GÜBRE
Karatay;BEÞAÐIL;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, HUBUBAT, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Karatay;BÜYÜKBURNAK;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Karatay;ÇENGÝLTÝ;MAZOT-GÜBRE
Karatay;DÝVANLAR;MAZOT-GÜBRE
Karatay;ESENTEPE;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Karatay;GÖÇÜ;YOK
Karatay;HAYIROÐLU MERKEZ;MAZOT-GÜBRE
Karatay;ÝPEKLER;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Karatay;ÝSMÝL;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, HUBUBAT, SERTÝFÝKALI TOHUM
Karatay;KARADONA;MAZOT-GÜBRE
Karatay;KARAKAYA;MAZOT-GÜBRE, YEM BÝTKÝLERÝ
Karatay;KATRANCI;MAZOT-GÜBRE, YEM BÝTKÝLERÝ
Karatay;KIZÖREN;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Karatay;KÖSEALÝ;MAZOT-GÜBRE, SERTÝFÝKALI TOHUM
Karatay;OBRUK;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Karatay;OVAKAVAÐI;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Karatay;SAKYATAN;MAZOT-GÜBRE
Karatay;SÜRÜÇ;MAZOT-GÜBRE
Karatay;ÞATIR;MAZOT-GÜBRE
Karatay;YAÐLIBAYAT;MAZOT-GÜBRE, BUZAÐI, KÜÇÜKBAÞ HAYVAN
Karatay;YAVÞANKUYU;MAZOT-GÜBRE
Karatay;YENÝCE;YOK
Karatay;YENÝKENT;MAZOT-GÜBRE, HUBUBAT
Karatay;ZÝNCÝRLÝ;MAZOT-GÜBRE
Kulu;ACIKUYU;MAZOT-GÜBRE, HUBUBAT, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Kulu;AÐILBAÞI;MAZOT-GÜBRE, YEM, BUZAÐI
Kulu;ALTILAR;MAZOT-GÜBRE
Kulu;ARÞINCA;MAZOT-GÜBRE
Kulu;BEÞKARDEÞ;MAZOT-GÜBRE
Kulu;BOÐAZÖREN;MAZOT-GÜBRE, HUBUBAT, FÝDE-FÝDAN, BUZAÐI
Kulu;BOZAN;MAZOT-GÜBRE, YEM, BUZAÐI, ÝYÝ TARIM UYGULAMALARI
Kulu;BURUNAÐIL;MAZOT-GÜBRE
Kulu;CANIMANA;MAZOT-GÜBRE
Kulu;CELEP;MAZOT-GÜBRE
Kulu;DÝPDEDE;MAZOT-GÜBRE
Kulu;DOÐUTEPE;MAZOT-GÜBRE
Kulu;FEVZÝYE;MAZOT-GÜBRE
Kulu;GÖKLER;MAZOT-GÜBRE
Kulu;GÜZELYAYLA;YOK
Kulu;HÝSAR;MAZOT-GÜBRE, SÜT, SERTÝFÝKALI TOHUM
Kulu;KARACADAÐ;YOK
Kulu;KARACADERE;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, DOÐRUDAN GELÝR
Kulu;KIRKKUYU;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI, ÝYÝ TARIM UYGULAMALARI
Kulu;KIRKPINAR;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Kulu;KOZANLI;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI, SERTÝFÝKALI TOHUM
Kulu;KÖMÜÞÝNÝ;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, BUZAÐI
Kulu;KÖÞKER;MAZOT-GÜBRE
Kulu;SARIYAYLA;MAZOT-GÜBRE, SÜT, YEM, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Kulu;SEYÝTAHMETLÝ;MAZOT-GÜBRE, SÜT, YEM
Kulu;SOÐUKKUYU;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, SÜT, YEM
Kulu;ÞEREFLÝ;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, KÜÇÜKBAÞ HAYVAN
Kulu;TAVLIÖREN;MAZOT-GÜBRE
Kulu;ÖMERANLI;MAZOT-GÜBRE, SERTÝFÝKALI TOHUM
Kulu;TUZYAKA;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI, SERTÝFÝKALI TOHUM
Kulu;YARAÞLI;MAZOT-GÜBRE
Kulu;YAZIÇAYIR;MAZOT-GÜBRE, HUBUBAT
Kulu;YEÞÝLTEPE;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, SÜT
Kulu;YEÞÝLYURT;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR
Kulu;ZÝNCÝRLÝKUYU;MAZOT-GÜBRE, SÜT
Kulu;BAHADIRLI;MAZOT-GÜBRE, KÜÇÜKBAÞ HAYVAN
Kulu;DEÐÝRMENÖZÜ;MAZOT-GÜBRE
Meram;ERENKAYA;MAZOT-GÜBRE
Meram;YATAÐAN;FÝDE-FÝDAN
Meram;GÖKYURT;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, SÜT
Meram;BAYAT;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Meram;BORUKTOLU;MAZOT-GÜBRE, FÝDE-FÝDAN
Meram;BOTSA;MAZOT-GÜBRE, FÝDE-FÝDAN
Meram;ÇAYIRBAÐI;FÝDE-FÝDAN
Meram;ÇOMAKLAR;FÝDE-FÝDAN
Meram;ÇUKURÇÝMEN;MAZOT-GÜBRE
Meram;EVLÝYATEKKE;FÝDE-FÝDAN
Meram;HATUNSARAY;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, HUBUBAT
Meram;ÝKÝPINAR;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Meram;ÝLYASBABA;SÜT, DOÐRUDAN GELÝR , BUZAÐI
Meram;ÝNLÝCE;MAZOT-GÜBRE
Meram;KARAAÐAÇ;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, DOÐRUDAN GELÝR
Meram;KAVAK;MAZOT-GÜBRE
Meram;KAYADÝBÝ;MAZOT-GÜBRE, FÝDE-FÝDAN
Meram;KAYALI;MAZOT-GÜBRE
Meram;KAYHÜYÜK;MAZOT-GÜBRE, SÜT, BUZAÐI
Meram;KIZILÖREN;MAZOT-GÜBRE, FÝDE-FÝDAN
Meram;KUMRALI;MAZOT-GÜBRE
Meram;SADIKLAR;FÝDE-FÝDAN
Meram;SAÐLIK;MAZOT-GÜBRE
Meram;SARIKIZ;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Meram;SEFAKÖY;FÝDE-FÝDAN
Meram;YEÞÝLDERE;MAZOT-GÜBRE, SÜT, BUZAÐI
Meram;YEÞÝLTEKKE;MAZOT-GÜBRE
Meram;KAÞINHANI;MAZOT-GÜBRE
Sarayönü;LADÝK;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR
Sarayönü;BAHÇESARAY;MAZOT-GÜBRE
Sarayönü;BAÞHÜYÜK;MAZOT-GÜBRE
Sarayönü;BOYALI;MAZOT-GÜBRE
Sarayönü;BÜYÜKZENGÝ;MAZOT-GÜBRE, FÝDE-FÝDAN
Sarayönü;ÇEÞMELÝSEBÝL;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR , BUZAÐI
Sarayönü;DEÐÝRMENLÝ;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Sarayönü;ERTUÐRUL;YOK
Sarayönü;GÖZLÜ;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, HUBUBAT, BUZAÐI
Sarayönü;KADIOÐLU;YOK
Sarayönü;KARABIYIK;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Sarayönü;KARATEPE;MAZOT-GÜBRE, BUZAÐI
Sarayönü;KAYIÖREN;MAZOT-GÜBRE, HUBUBAT, BUZAÐI, SERTÝFÝKALI TOHUM
Sarayönü;KONAR;MAZOT-GÜBRE, HUBUBAT, SERTÝFÝKALI TOHUM
Sarayönü;KURÞUNLU;MAZOT-GÜBRE, SÜT, BUZAÐI
Sarayönü;KUYULUSEBÝL;MAZOT-GÜBRE, BUZAÐI
Sarayönü;ÖZKENT;MAZOT-GÜBRE, HUBUBAT
Sarayönü;YENÝCEKAYA;MAZOT-GÜBRE, SÜT
Selçuklu;BAÞARAKAVAK;HUBUBAT, FÝDE-FÝDAN, DOÐRUDAN GELÝR , BUZAÐI
Selçuklu;hasan;
Selçuklu;SARAYKÖY;MAZOT-GÜBRE, FÝDE-FÝDAN
Selçuklu;SULUTAS;FÝDE-FÝDAN, BUZAÐI
Selçuklu;TATKÖY;MAZOT-GÜBRE
Selçuklu;AKPINAR;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR
Selçuklu;BAÐRIKURT;MAZOT-GÜBRE
Selçuklu;BÝÇER;MAZOT-GÜBRE, BUZAÐI
Selçuklu;ÇALDERE;MAZOT-GÜBRE
Selçuklu;ÇALTI;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Selçuklu;ÇANDIR;YOK
Selçuklu;DAÐDERE;YOK
Selçuklu;EÐRÝBAYAT;YOK
Selçuklu;GÜVENÇ;MAZOT-GÜBRE, BUZAÐI
Selçuklu;KALE;MAZOT-GÜBRE, BUZAÐI
Selçuklu;KARAÖMERLER;MAZOT-GÜBRE, HUBUBAT
Selçuklu;KERVAN;YOK
Selçuklu;KINIK;MAZOT-GÜBRE, HUBUBAT, BUZAÐI
Selçuklu;KIZILCAKUYU;YOK
Selçuklu;MEYDAN;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Selçuklu;SELAHATTÝN;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, BUZAÐI
Selçuklu;SIZMA;MAZOT-GÜBRE, HUBUBAT, SERTÝFÝKALI TOHUM
Selçuklu;TEPEKENT;MAZOT-GÜBRE, FÝDE-FÝDAN, BUZAÐI
Selçuklu;ULUMUHSÝNE;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Selçuklu;YAZIBELEN;MAZOT-GÜBRE, BUZAÐI
Selçuklu;SÝLLE;FÝDE-FÝDAN
Selçuklu;ARDIÇLI;YOK
Selçuklu;AÞAÐIPINARBAÞI;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Selçuklu;YUKARIPINARBAÞI;HUBUBAT
Selçuklu;KÜÇÜKMUHSÝNE;DOÐRUDAN GELÝR
Selçuklu;SARICALAR;HUBUBAT, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Selçuklu;TÖMEK;MAZOT-GÜBRE, YEM BÝTKÝLERÝ
Selçuklu;YÜKSELEN;MAZOT-GÜBRE, KÜÇÜKBAÞ HAYVAN
Selçuklu;Mehmet Fatih;
Seydiþehir;KESECÝK;MAZOT-GÜBRE, GÜBRE, SÜT, DOÐRUDAN GELÝR
Seydiþehir;AKÇALAR;MAZOT-GÜBRE, SULAMA SÝSTEMLERÝ, SÜT, YEM, DOÐRUDAN GELÝR , BUZAÐI
Seydiþehir;AÞAÐIKARAÖREN;MAZOT-GÜBRE, SÜT, YEM, DOÐRUDAN GELÝR
Seydiþehir;BAÞKARAÖREN;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Seydiþehir;BOSTANDERE;MAZOT-GÜBRE, SÜT, YEM
