ÝLÇE ADI;MAHALLE ADI;ENDEMÝK (SADECE BU BÖLGEDE YETÝÞEN) BÝTKÝLER
Seydiþehir;GÖLYÜZÜ;YOK
Seydiþehir;IRMAKLI;YOK
Seydiþehir;ÝNCESU;YOK
Seydiþehir;KARABULAK;YOK
Seydiþehir;KARACAÖREN;YOK
Seydiþehir;KAVAK;YOK
Seydiþehir;KETENLÝ;YOK
Seydiþehir;KIZILCA;YOK
Seydiþehir;KOZLU;YOK
Seydiþehir;KUMLUCA;YOK
Seydiþehir;KURAN;YOK
Seydiþehir;MADENLÝ;YOK
Seydiþehir;MESUDÝYE;YOK
Seydiþehir;MURADÝYE;YOK
Seydiþehir;OÐLAKÇI;YOK
Seydiþehir;ORTAKARAÖREN;YOK
Seydiþehir;SARAYCIK;YOK
Seydiþehir;SUSUZ;YOK
Seydiþehir;TARAÞÇI;YOK
Seydiþehir;TAÞAÐIL;YOK
Seydiþehir;TEPECÝK;YOK
Seydiþehir;TOL;YOK
Seydiþehir;UFACIK;YOK
Seydiþehir;YAYLACIK;YOK
Seydiþehir;YENÝCE;YOK
Taþkent;AFÞAR;YOK
Taþkent;BALCILAR;YOK
Taþkent;BOLAY;YOK
Taþkent;ÇETMÝ;YOK
Taþkent;KECÝMEN;YOK
Taþkent;KONGUL;YOK
Taþkent;SAZAK;YOK
Taþkent;ILICAPINAR;YOK
Tuzlukçu;KONARI;YOK
Tuzlukçu;MEVLÜTLÜ;YOK
Tuzlukçu;KORAÞI;YOK
Tuzlukçu;ÇÖÐÜRLÜ;YOK
Tuzlukçu;TURSUNLU;YOK
Tuzlukçu;KUNDULLU;YOK
Tuzlukçu;PAZARKAYA;YOK
Tuzlukçu;SUBATAN;YOK
Tuzlukçu;GÜRSU;YOK
Tuzlukçu;ERDOÐDU;YOK
Tuzlukçu;KÖKLÜCE;YOK
Yalýhüyük;SARAY;YOK
Yalýhüyük;ARASÖÐÜT;YOK
Yunak;KUZÖREN;YOK
Yunak;KOÇYAZI;YOK
Yunak;TURGUT;YOK
Yunak;PÝRÝBEYLÝ;YOK
Yunak;SÜLÜKLÜ;YOK
Yunak;ALTINÖZ;YOK
Yunak;AYRITEPE;YOK
Yunak;BEÞIÞIKLI;ÇATRIK BÝTKÝSÝ
Yunak;CEBRAÝL;YOK
Yunak;ÇAYIRBAÞI;YOK
Yunak;EÐRÝKUYU;YOK
Yunak;HACIÖMEROÐLU;YOK
Yunak;HATIRLI;YOK
Yunak;HACIFAKILI;YOK
Yunak;HARUNLAR;YOK
Yunak;HURSUNLU;YOK
Yunak;ÝMAMOÐLU;YOK
Yunak;KARGALI;YOK
Yunak;KARAYAYLA;YOK
Yunak;KILLAR;YOK
Yunak;KURTUÞAÐI;YOK
Yunak;KUYUBAÞI;YOK
Yunak;MEÞELÝK;YOK
Yunak;ODABAÞI;YOK
Yunak;ORTAKIÞLA;YOK
Yunak;ÖZYAYLA;YOK
Yunak;SERTLER;YOK
Yunak;SEVÝNÇ;YOK
Yunak;SIRAM;YOK
Yunak;SÝNANLI;YOK
Yunak;YAVAÞLI;YOK
Yunak;YEÞÝLOBA;YOK
Yunak;YEÞÝLYAYLA;YOK
Yunak;YIÐAR;YOK
Yunak;SARAY;YOK
;;
