ÝLÇE ADI;MAHALLE ADI;SULAMA SUYU KAYNAÐI YÖNETÝMÝ
Halkapýnar;YAYIKLI;SULAMA KOOPERATÝFÝ
Halkapýnar;YEÞÝLYURT;ÞAHSÝ KUYULAR
Halkapýnar;ÇAKILLAR;ÞAHSÝ KUYULAR
Hüyük;BAÞLAMIÞ;SULAMA KOOPERATÝFÝ
Hüyük;BUDAK;SULAMA BÝRLÝÐÝ
Hüyük;BURUNSUZ;SULAMA KOOPERATÝFÝ
Hüyük;ÇAMLICA;SULAMA KOOPERATÝFÝ
Hüyük;ÇAVUÞ;SULAMA KOOPERATÝFÝ
Hüyük;ÇUKURKENT;SULAMA BÝRLÝÐÝ
Hüyük;DEÐÝRMENALTI;SULAMA KOOPERATÝFÝ
Hüyük;GÖÇERÝ;SULAMA KOOPERATÝFÝ
Hüyük;GÖRÜNMEZ;ÞAHSÝ KUYULAR
Hüyük;ÝLMEN;SULAMA KOOPERATÝFÝ
Hüyük;ÝMRENLER;SULAMA KOOPERATÝFÝ
Hüyük;KIRELÝ;SULAMA BÝRLÝÐÝ
Hüyük;KÖÞK;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Hüyük;MUTLU;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Hüyük;PINARBAÞI;SULAMA KOOPERATÝFÝ
Hüyük;SELKÝ;SULAMA KOOPERATÝFÝ
Hüyük;SULUDERE;SULAMA KOOPERATÝFÝ
Hüyük;TOLCA;SULAMA BÝRLÝÐÝ
Hüyük;YENÝCE;SULAMA BÝRLÝÐÝ, SULAMA KOOPERATÝFÝ
Ilgýn;ARGITHANI;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Ilgýn;BEYKONAK;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ, SULAMA KOOPERATÝFÝ
Ilgýn;ÇAVUÞÇUGÖL;SULAMA KOOPERATÝFÝ
Ilgýn;AÐALAR;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ, SULAMA KOOPERATÝFÝ
Ilgýn;BALKI;SULAMA BÝRLÝÐÝ
Ilgýn;BARAKMUSLU;YOK
Ilgýn;BELEKLER;SULAMA KOOPERATÝFÝ
Ilgýn;BOÐAZKENT;SULAMA KOOPERATÝFÝ
Ilgýn;BULCUK;SULAMA KOOPERATÝFÝ
Ilgýn;BÜYÜKOBA;ÞAHSÝ KUYULAR
Ilgýn;ÇÝÐÝL;SULAMA KOOPERATÝFÝ
Ilgýn;ÇATAK;YOK
Ilgýn;ÇOBANKAYA;YOK
Ilgýn;ÇÖMLEKCÝ;YOK
Ilgýn;DEREKÖY;YOK
Ilgýn;DIÐRAK;YOK
Ilgýn;DÜÐER;ÞAHSÝ KUYULAR
Ilgýn;ELDEÞ;SULAMA BÝRLÝÐÝ
Ilgýn;GEÇÝT;ÞAHSÝ KUYULAR
Ilgýn;GEDÝKÖREN;SULAMA BÝRLÝÐÝ
Ilgýn;GÖSTERE;SULAMA BÝRLÝÐÝ
Ilgýn;GÖKÇEYURT;SULAMA BÝRLÝÐÝ
Ilgýn;GÖLYAKA;ÞAHSÝ KUYULAR
Ilgýn;GÖKBUDAK;YOK
Ilgýn;GÜNEYPINAR;ÞAHSÝ KUYULAR
Ilgýn;HARMANYAZI;SULAMA KOOPERATÝFÝ
Ilgýn;ÝHSANÝYE;SULAMA BÝRLÝÐÝ
Ilgýn;KAPAKLI;ÞAHSÝ KUYULAR
Ilgýn;KARAKÖY;SULAMA BÝRLÝÐÝ
Ilgýn;KALEKÖY;ÞAHSÝ KUYULAR
Ilgýn;MAHMUTHÝSAR;SULAMA BÝRLÝÐÝ, SULAMA KOOPERATÝFÝ
Ilgýn;MECÝDÝYE;ÞAHSÝ KUYULAR
Ilgýn;MÝSAFÝRLÝ;ÞAHSÝ KUYULAR
Ilgýn;OLUKPINAR;SULAMA KOOPERATÝFÝ
Ilgýn;ORHANÝYE;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Ilgýn;ORMANÖZÜ;ÞAHSÝ KUYULAR
Ilgýn;SADIKKÖY;SULAMA BÝRLÝÐÝ
Ilgýn;SEBÝLLER;BELEDÝYE
Ilgýn;TEKELER;YOK
Ilgýn;YUKARIÇÝÐÝL;SULAMA KOOPERATÝFÝ
Ilgýn;YORAZLAR;ÞAHSÝ KUYULAR
Ilgýn;ZAFERÝYE;SULAMA BÝRLÝÐÝ
Ilgýn;AVDAN;ÞAHSÝ KUYULAR
Kadýnhaný;OSMANCIK;SULAMA KOOPERATÝFÝ
Kadýnhaný;AFÞARLI;ÞAHSÝ KUYULAR
Kadýnhaný;ALABAÐ;ÞAHSÝ KUYULAR
Kadýnhaný;ATLANTI;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Kadýnhaný;BAKIRPINAR;ÞAHSÝ KUYULAR
Kadýnhaný;BAÞKUYU;SULAMA KOOPERATÝFÝ
Kadýnhaný;BAYRAMLI;ÞAHSÝ KUYULAR
Kadýnhaný;BEYKAVAÐI;SULAMA KOOPERATÝFÝ
Kadýnhaný;BULGURPINAR;ÞAHSÝ KUYULAR
Kadýnhaný;ÇAVDAR;ÞAHSÝ KUYULAR
Kadýnhaný;ÇEÞMECÝK;YOK
Kadýnhaný;ÇUBUK;YOK
Kadýnhaný;DEMÝROLUK;ÞAHSÝ KUYULAR
Kadýnhaný;HACIMEHMETLÝ;ÞAHSÝ KUYULAR
Kadýnhaný;HACIOFLAZLAR;ÞAHSÝ KUYULAR
Kadýnhaný;HACIPÝRLÝ;ÞAHSÝ KUYULAR
Kadýnhaný;KABACALI;YOK
Kadýnhaný;KAMIÞLIÖZÜ;SULAMA KOOPERATÝFÝ
Kadýnhaný;KARAHÝSARLI;ÞAHSÝ KUYULAR
Kadýnhaný;KARAKURTLU;ÞAHSÝ KUYULAR
Kadýnhaný;KARASEVÝNÇ;YOK
Kadýnhaný;KARAYÜRÜKLÜ;ÞAHSÝ KUYULAR
Kadýnhaný;KIZILKUYU;ÞAHSÝ KUYULAR
Kadýnhaný;KOLUKISA;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Kadýnhaný;KONURÖREN;ÞAHSÝ KUYULAR
Kadýnhaný;KÖKEZ;ÞAHSÝ KUYULAR
Kadýnhaný;KÖYLÜTOLU;ÞAHSÝ KUYULAR
Kadýnhaný;KURTHASANLI;ÞAHSÝ KUYULAR
Kadýnhaný;KÜÇÜKKUYU;ÞAHSÝ KUYULAR
Kadýnhaný;MAHMUDÝYE;SULAMA BÝRLÝÐÝ
Kadýnhaný;MEYDANLI;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Kadýnhaný;ÖRNEK;ÞAHSÝ KUYULAR
Kadýnhaný;PÝRALÝ;YOK
Kadýnhaný;PUSAT;YOK
Kadýnhaný;SAÇIKARA;SULAMA KOOPERATÝFÝ
Kadýnhaný;SARIKAYA;YOK
Kadýnhaný;SÖÐÜTÖZÜ;ÞAHSÝ KUYULAR
Kadýnhaný;ÞAHÖREN;SULAMA BÝRLÝÐÝ
Kadýnhaný;TOSUNOÐLU;ÞAHSÝ KUYULAR
Kadýnhaný;YAÐLICA;YOK
Kadýnhaný;YAYLAYAKA;ÞAHSÝ KUYULAR
Karapýnar;HOTAMIÞ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karapýnar;KESMEZ;SULAMA KOOPERATÝFÝ
Karapýnar;AKÇAYAZI;ÞAHSÝ KUYULAR
Karapýnar;AKÖREN;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karapýnar;ÇÝÐÝL;ÞAHSÝ KUYULAR
Karapýnar;HASANOBA;SULAMA KOOPERATÝFÝ
Karapýnar;ÝSLÝK;ÞAHSÝ KUYULAR
Karapýnar;KARAKIÞLA;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karapýnar;KAYACIK;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karapýnar;KAYALI;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karapýnar;KAZANHÜYÜÐÜ;SULAMA KOOPERATÝFÝ
Karapýnar;KÜÇÜKAÞLAMA;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karapýnar;ORTAOBA;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karapýnar;OYMALI;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karapýnar;SAZLIPINAR;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karapýnar;YAÐMAPINAR;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karapýnar;YENÝKUYU;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karapýnar;YEÞÝLYURT;ÞAHSÝ KUYULAR
Karatay;YARMA;ÞAHSÝ KUYULAR
Karatay;ACIDORT;ÞAHSÝ KUYULAR
Karatay;AÐSAKLI;ÞAHSÝ KUYULAR
Karatay;AKBAÞ;ÞAHSÝ KUYULAR
Karatay;AKÖRENKIÞLA;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karatay;BAKIRTOLU;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Karatay;BAÞGÖTÜREN;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karatay;BEÞAÐIL;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karatay;BÜYÜKBURNAK;SULAMA KOOPERATÝFÝ
Karatay;ÇENGÝLTÝ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karatay;DÝVANLAR;YOK
Karatay;ESENTEPE;ÞAHSÝ KUYULAR
Karatay;GÖÇÜ;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Karatay;HAYIROÐLU MERKEZ;ÞAHSÝ KUYULAR
Karatay;ÝPEKLER;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karatay;ÝSMÝL;SULAMA BÝRLÝÐÝ
Karatay;KARADONA;ÞAHSÝ KUYULAR
Karatay;KARAKAYA;YOK
Karatay;KATRANCI;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karatay;KIZÖREN;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karatay;KÖSEALÝ;ÞAHSÝ KUYULAR
Karatay;OBRUK;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karatay;OVAKAVAÐI;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Karatay;SAKYATAN;SULAMA BÝRLÝÐÝ
Karatay;SÜRÜÇ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Karatay;ÞATIR;SULAMA KOOPERATÝFÝ
Karatay;YAÐLIBAYAT;ÞAHSÝ KUYULAR
Karatay;YAVÞANKUYU;ÞAHSÝ KUYULAR
Karatay;YENÝCE;ÞAHSÝ KUYULAR
Karatay;YENÝKENT;ÞAHSÝ KUYULAR
Karatay;ZÝNCÝRLÝ;ÞAHSÝ KUYULAR
Kulu;ACIKUYU;ÞAHSÝ KUYULAR
Kulu;AÐILBAÞI;ÞAHSÝ KUYULAR
Kulu;ALTILAR;ÞAHSÝ KUYULAR
Kulu;ARÞINCA;ÞAHSÝ KUYULAR
Kulu;BEÞKARDEÞ;YOK
Kulu;BOÐAZÖREN;YOK
Kulu;BOZAN;ÞAHSÝ KUYULAR
Kulu;BURUNAÐIL;ÞAHSÝ KUYULAR
Kulu;CANIMANA;ÞAHSÝ KUYULAR
Kulu;CELEP;ÞAHSÝ KUYULAR
Kulu;DÝPDEDE;YOK
Kulu;DOÐUTEPE;ÞAHSÝ KUYULAR
Kulu;FEVZÝYE;ÞAHSÝ KUYULAR
Kulu;GÖKLER;YOK
Kulu;GÜZELYAYLA;ÞAHSÝ KUYULAR
Kulu;HÝSAR;YOK
Kulu;KARACADAÐ;SULAMA KOOPERATÝFÝ
Kulu;KARACADERE;YOK
Kulu;KIRKKUYU;YOK
Kulu;KIRKPINAR;YOK
Kulu;KOZANLI;SULAMA KOOPERATÝFÝ
Kulu;KÖMÜÞÝNÝ;YOK
Kulu;KÖÞKER;YOK
Kulu;SARIYAYLA;SULAMA KOOPERATÝFÝ
Kulu;SEYÝTAHMETLÝ;ÞAHSÝ KUYULAR
Kulu;SOÐUKKUYU;ÞAHSÝ KUYULAR
Kulu;ÞEREFLÝ;ÞAHSÝ KUYULAR
Kulu;TAVLIÖREN;ÞAHSÝ KUYULAR
Kulu;ÖMERANLI;ÞAHSÝ KUYULAR
Kulu;TUZYAKA;ÞAHSÝ KUYULAR
Kulu;YARAÞLI;YOK
Kulu;YAZIÇAYIR;YOK
Kulu;YEÞÝLTEPE;ÞAHSÝ KUYULAR
Kulu;YEÞÝLYURT;ÞAHSÝ KUYULAR
Kulu;ZÝNCÝRLÝKUYU;BELEDÝYE
Kulu;BAHADIRLI;ÞAHSÝ KUYULAR
Kulu;DEÐÝRMENÖZÜ;ÞAHSÝ KUYULAR
Meram;ERENKAYA;YOK
Meram;YATAÐAN;ÞAHSÝ KUYULAR
Meram;GÖKYURT;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Meram;BAYAT;ÞAHSÝ KUYULAR
Meram;BORUKTOLU;ÞAHSÝ KUYULAR
Meram;BOTSA;SULAMA KOOPERATÝFÝ
Meram;ÇAYIRBAÐI;SULAMA KOOPERATÝFÝ
Meram;ÇOMAKLAR;ÞAHSÝ KUYULAR
Meram;ÇUKURÇÝMEN;SULAMA KOOPERATÝFÝ
Meram;EVLÝYATEKKE;SULAMA KOOPERATÝFÝ
Meram;HATUNSARAY;SULAMA KOOPERATÝFÝ
Meram;ÝKÝPINAR;ÞAHSÝ KUYULAR
Meram;ÝLYASBABA;SULAMA KOOPERATÝFÝ
Meram;ÝNLÝCE;SULAMA KOOPERATÝFÝ
Meram;KARAAÐAÇ;YOK
Meram;KAVAK;SULAMA KOOPERATÝFÝ
Meram;KAYADÝBÝ;SULAMA KOOPERATÝFÝ
Meram;KAYALI;ÞAHSÝ KUYULAR
Meram;KAYHÜYÜK;ÞAHSÝ KUYULAR
Meram;KIZILÖREN;SULAMA KOOPERATÝFÝ
Meram;KUMRALI;ÞAHSÝ KUYULAR
Meram;SADIKLAR;ÞAHSÝ KUYULAR
Meram;SAÐLIK;ÞAHSÝ KUYULAR
Meram;SARIKIZ;YOK
Meram;SEFAKÖY;SULAMA KOOPERATÝFÝ
Meram;YEÞÝLDERE;SULAMA KOOPERATÝFÝ
Meram;YEÞÝLTEKKE;SULAMA KOOPERATÝFÝ
Meram;KAÞINHANI;ÞAHSÝ KUYULAR
Sarayönü;LADÝK;SULAMA KOOPERATÝFÝ
Sarayönü;BAHÇESARAY;SULAMA KOOPERATÝFÝ
Sarayönü;BAÞHÜYÜK;ÞAHSÝ KUYULAR
Sarayönü;BOYALI;ÞAHSÝ KUYULAR
Sarayönü;BÜYÜKZENGÝ;ÞAHSÝ KUYULAR
Sarayönü;ÇEÞMELÝSEBÝL;ÞAHSÝ KUYULAR
Sarayönü;DEÐÝRMENLÝ;ÞAHSÝ KUYULAR
Sarayönü;ERTUÐRUL;ÞAHSÝ KUYULAR
Sarayönü;GÖZLÜ;ÞAHSÝ KUYULAR
Sarayönü;KADIOÐLU;ÞAHSÝ KUYULAR
Sarayönü;KARABIYIK;YOK
Sarayönü;KARATEPE;ÞAHSÝ KUYULAR
Sarayönü;KAYIÖREN;ÞAHSÝ KUYULAR
Sarayönü;KONAR;ÞAHSÝ KUYULAR
Sarayönü;KURÞUNLU;YOK
Sarayönü;KUYULUSEBÝL;ÞAHSÝ KUYULAR
Sarayönü;ÖZKENT;ÞAHSÝ KUYULAR
Sarayönü;YENÝCEKAYA;ÞAHSÝ KUYULAR
Selçuklu;BAÞARAKAVAK;SULAMA KOOPERATÝFÝ
Selçuklu;hasan;
Selçuklu;SARAYKÖY;YOK
Selçuklu;SULUTAS;YOK
Selçuklu;TATKÖY;YOK
Selçuklu;AKPINAR;ÞAHSÝ KUYULAR
Selçuklu;BAÐRIKURT;YOK
Selçuklu;BÝÇER;ÞAHSÝ KUYULAR
Selçuklu;ÇALDERE;ÞAHSÝ KUYULAR
Selçuklu;ÇALTI;ÞAHSÝ KUYULAR
Selçuklu;ÇANDIR;YOK
Selçuklu;DAÐDERE;ÞAHSÝ KUYULAR
Selçuklu;EÐRÝBAYAT;ÞAHSÝ KUYULAR
Selçuklu;GÜVENÇ;ÞAHSÝ KUYULAR
Selçuklu;KALE;ÞAHSÝ KUYULAR
Selçuklu;KARAÖMERLER;ÞAHSÝ KUYULAR
Selçuklu;KERVAN;YOK
Selçuklu;KINIK;ÞAHSÝ KUYULAR
Selçuklu;KIZILCAKUYU;YOK
Selçuklu;MEYDAN;YOK
Selçuklu;SELAHATTÝN;ÞAHSÝ KUYULAR
Selçuklu;SIZMA;YOK
Selçuklu;TEPEKENT;ÞAHSÝ KUYULAR
Selçuklu;ULUMUHSÝNE;SULAMA BÝRLÝÐÝ
Selçuklu;YAZIBELEN;ÞAHSÝ KUYULAR
Selçuklu;SÝLLE;SULAMA KOOPERATÝFÝ
Selçuklu;ARDIÇLI;SULAMA BÝRLÝÐÝ
Selçuklu;AÞAÐIPINARBAÞI;ÞAHSÝ KUYULAR
Selçuklu;YUKARIPINARBAÞI;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Selçuklu;KÜÇÜKMUHSÝNE;ÞAHSÝ KUYULAR
Selçuklu;SARICALAR;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Selçuklu;TÖMEK;ÞAHSÝ KUYULAR
Selçuklu;YÜKSELEN;SULAMA KOOPERATÝFÝ
Selçuklu;Mehmet Fatih;
Seydiþehir;KESECÝK;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Seydiþehir;AKÇALAR;ÞAHSÝ KUYULAR
Seydiþehir;AÞAÐIKARAÖREN;ÞAHSÝ KUYULAR
Seydiþehir;BAÞKARAÖREN;SULAMA BÝRLÝÐÝ
Seydiþehir;BOSTANDERE;SULAMA KOOPERATÝFÝ
Seydiþehir;BOYALI;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Seydiþehir;BÜKÇE;ÞAHSÝ KUYULAR
Seydiþehir;ÇAT;ÞAHSÝ KUYULAR
Seydiþehir;ÇATMAKAYA;ÞAHSÝ KUYULAR
Seydiþehir;ÇAVUÞ;ÞAHSÝ KUYULAR
Seydiþehir;DÝKÝLÝTAÞ;SULAMA KOOPERATÝFÝ
Seydiþehir;GEVREKLÝ;ÞAHSÝ KUYULAR
Seydiþehir;GÖKÇEHÜYÜK;SULAMA KOOPERATÝFÝ
Seydiþehir;GÖKHÜYÜK;SULAMA KOOPERATÝFÝ
Seydiþehir;GÖLYÜZÜ;ÞAHSÝ KUYULAR
Seydiþehir;IRMAKLI;ÞAHSÝ KUYULAR
Seydiþehir;ÝNCESU;ÞAHSÝ KUYULAR
Seydiþehir;KARABULAK;ÞAHSÝ KUYULAR
Seydiþehir;KARACAÖREN;ÞAHSÝ KUYULAR
Seydiþehir;KAVAK;ÞAHSÝ KUYULAR
Seydiþehir;KETENLÝ;ÞAHSÝ KUYULAR
Seydiþehir;KIZILCA;ÞAHSÝ KUYULAR
Seydiþehir;KOZLU;ÞAHSÝ KUYULAR
Seydiþehir;KUMLUCA;SULAMA KOOPERATÝFÝ
Seydiþehir;KURAN;SULAMA KOOPERATÝFÝ
Seydiþehir;MADENLÝ;YOK
Seydiþehir;MESUDÝYE;SULAMA KOOPERATÝFÝ
Seydiþehir;MURADÝYE;SULAMA KOOPERATÝFÝ
Seydiþehir;OÐLAKÇI;SULAMA KOOPERATÝFÝ
Seydiþehir;ORTAKARAÖREN;SULAMA KOOPERATÝFÝ
Seydiþehir;SARAYCIK;ÞAHSÝ KUYULAR
Seydiþehir;SUSUZ;SULAMA KOOPERATÝFÝ
Seydiþehir;TARAÞÇI;SULAMA KOOPERATÝFÝ
Seydiþehir;TAÞAÐIL;SULAMA KOOPERATÝFÝ
Seydiþehir;TEPECÝK;YOK
Seydiþehir;TOL;SULAMA KOOPERATÝFÝ
Seydiþehir;UFACIK;YOK
Seydiþehir;YAYLACIK;SULAMA KOOPERATÝFÝ
Seydiþehir;YENÝCE;SULAMA KOOPERATÝFÝ
Taþkent;AFÞAR;ÞAHSÝ KUYULAR
Taþkent;BALCILAR;ÞAHSÝ KUYULAR
Taþkent;BOLAY;ÞAHSÝ KUYULAR
Taþkent;ÇETMÝ;ÞAHSÝ KUYULAR
Taþkent;KECÝMEN;ÞAHSÝ KUYULAR
Taþkent;KONGUL;ÞAHSÝ KUYULAR
Taþkent;SAZAK;ÞAHSÝ KUYULAR
Taþkent;ILICAPINAR;ÞAHSÝ KUYULAR
Tuzlukçu;KONARI;YOK
Tuzlukçu;MEVLÜTLÜ;YOK
Tuzlukçu;KORAÞI;YOK
Tuzlukçu;ÇÖÐÜRLÜ;ÞAHSÝ KUYULAR
Tuzlukçu;TURSUNLU;ÞAHSÝ KUYULAR
Tuzlukçu;KUNDULLU;ÞAHSÝ KUYULAR
Tuzlukçu;PAZARKAYA;YOK
Tuzlukçu;SUBATAN;ÞAHSÝ KUYULAR
Tuzlukçu;GÜRSU;ÞAHSÝ KUYULAR
Tuzlukçu;ERDOÐDU;ÞAHSÝ KUYULAR
Tuzlukçu;KÖKLÜCE;ÞAHSÝ KUYULAR
Yalýhüyük;SARAY;YOK
Yalýhüyük;ARASÖÐÜT;YOK
Yunak;KUZÖREN;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Yunak;KOÇYAZI;ÞAHSÝ KUYULAR
Yunak;TURGUT;ÞAHSÝ KUYULAR
Yunak;PÝRÝBEYLÝ;YOK
Yunak;SÜLÜKLÜ;ÞAHSÝ KUYULAR
Yunak;ALTINÖZ;ÞAHSÝ KUYULAR
Yunak;AYRITEPE;YOK
Yunak;BEÞIÞIKLI;ÞAHSÝ KUYULAR
Yunak;CEBRAÝL;YOK
Yunak;ÇAYIRBAÞI;ÞAHSÝ KUYULAR
Yunak;EÐRÝKUYU;ÞAHSÝ KUYULAR
Yunak;HACIÖMEROÐLU;ÞAHSÝ KUYULAR
Yunak;HATIRLI;ÞAHSÝ KUYULAR
Yunak;HACIFAKILI;ÞAHSÝ KUYULAR
Yunak;HARUNLAR;YOK
Yunak;HURSUNLU;ÞAHSÝ KUYULAR
Yunak;ÝMAMOÐLU;ÞAHSÝ KUYULAR
Yunak;KARGALI;YOK
Yunak;KARAYAYLA;ÞAHSÝ KUYULAR
Yunak;KILLAR;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Yunak;KURTUÞAÐI;YOK
Yunak;KUYUBAÞI;ÞAHSÝ KUYULAR
Yunak;MEÞELÝK;YOK
Yunak;ODABAÞI;ÞAHSÝ KUYULAR
Yunak;ORTAKIÞLA;ÞAHSÝ KUYULAR
Yunak;ÖZYAYLA;ÞAHSÝ KUYULAR
Yunak;SERTLER;ÞAHSÝ KUYULAR
Yunak;SEVÝNÇ;YOK
Yunak;SIRAM;YOK
Yunak;SÝNANLI;ÞAHSÝ KUYULAR
Yunak;YAVAÞLI;ÞAHSÝ KUYULAR
Yunak;YEÞÝLOBA;ÞAHSÝ KUYULAR
Yunak;YEÞÝLYAYLA;ÞAHSÝ KUYULAR
Yunak;YIÐAR;ÞAHSÝ KUYULAR
Yunak;SARAY;ÞAHSÝ KUYULAR
;;
