ÝLÇE ADI;MAHALLE ADI;SULAK ALAN MÝKTARI
Tuzlukçu;KÖKLÜCE;30%
Yalýhüyük;SARAY;0%
Yalýhüyük;ARASÖÐÜT;0%
Yunak;KUZÖREN;20%
Yunak;KOÇYAZI;10%
Yunak;TURGUT;60%
Yunak;PÝRÝBEYLÝ;0%
Yunak;SÜLÜKLÜ;70%
Yunak;ALTINÖZ;60%
Yunak;AYRITEPE;0%
Yunak;BEÞIÞIKLI;20%
Yunak;CEBRAÝL;0%
Yunak;ÇAYIRBAÞI;10%
Yunak;EÐRÝKUYU;30%
Yunak;HACIÖMEROÐLU;40%
Yunak;HATIRLI;30%
Yunak;HACIFAKILI;60%
Yunak;HARUNLAR;0%
Yunak;HURSUNLU;60%
Yunak;ÝMAMOÐLU;10%
Yunak;KARGALI;0%
Yunak;KARAYAYLA;80%
Yunak;KILLAR;50%
Yunak;KURTUÞAÐI;0%
Yunak;KUYUBAÞI;10%
Yunak;MEÞELÝK;0%
Yunak;ODABAÞI;45%
Yunak;ORTAKIÞLA;10%
Yunak;ÖZYAYLA;5%
Yunak;SERTLER;20%
Yunak;SEVÝNÇ;0%
Yunak;SIRAM;0%
Yunak;SÝNANLI;30%
Yunak;YAVAÞLI;50%
Yunak;YEÞÝLOBA;50%
Yunak;YEÞÝLYAYLA;10%
Yunak;YIÐAR;30%
Yunak;SARAY;60%
;;
