ÝLÇE ADI;MAHALLE ADI;MAHALLEDE KOOPERATÝF VAR MI?
Ilgýn;AÐALAR;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Ilgýn;BALKI;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Ilgýn;BARAKMUSLU;YOK
Ilgýn;BELEKLER;TARIMSAL SULAMA KOOPERATÝFÝ
Ilgýn;BOÐAZKENT;TARIMSAL SULAMA KOOPERATÝFÝ
Ilgýn;BULCUK;TARIMSAL SULAMA KOOPERATÝFÝ
Ilgýn;BÜYÜKOBA;TARIMSAL KALKINMA KOOPERATÝFÝ
Ilgýn;ÇÝÐÝL;TARIMSAL SULAMA KOOPERATÝFÝ
Ilgýn;ÇATAK;YOK
Ilgýn;ÇOBANKAYA;YOK
Ilgýn;ÇÖMLEKCÝ;YOK
Ilgýn;DEREKÖY;YOK
Ilgýn;DIÐRAK;YOK
Ilgýn;DÜÐER;YOK
Ilgýn;ELDEÞ;TARIM KREDÝ KOOPERATÝFÝ
Ilgýn;GEÇÝT;YOK
Ilgýn;GEDÝKÖREN;TARIMSAL KALKINMA KOOPERATÝFÝ
Ilgýn;GÖSTERE;YOK
Ilgýn;GÖKÇEYURT;YOK
Ilgýn;GÖLYAKA;YOK
Ilgýn;GÖKBUDAK;YOK
Ilgýn;GÜNEYPINAR;YOK
Ilgýn;HARMANYAZI;TARIMSAL SULAMA KOOPERATÝFÝ
Ilgýn;ÝHSANÝYE;YOK
Ilgýn;KAPAKLI;YOK
Ilgýn;KARAKÖY;YOK
Ilgýn;KALEKÖY;YOK
Ilgýn;MAHMUTHÝSAR;TARIMSAL SULAMA KOOPERATÝFÝ
Ilgýn;MECÝDÝYE;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Ilgýn;MÝSAFÝRLÝ;YOK
Ilgýn;OLUKPINAR;TARIMSAL SULAMA KOOPERATÝFÝ
Ilgýn;ORHANÝYE;TARIMSAL SULAMA KOOPERATÝFÝ
Ilgýn;ORMANÖZÜ;YOK
Ilgýn;SADIKKÖY;YOK
Ilgýn;SEBÝLLER;YOK
Ilgýn;TEKELER;YOK
Ilgýn;YUKARIÇÝÐÝL;TARIMSAL SULAMA KOOPERATÝFÝ
Ilgýn;YORAZLAR;YOK
Ilgýn;ZAFERÝYE;YOK
Ilgýn;AVDAN;TARIMSAL SULAMA KOOPERATÝFÝ
Kadýnhaný;OSMANCIK;TARIMSAL SULAMA KOOPERATÝFÝ
Kadýnhaný;AFÞARLI;TARIMSAL SULAMA KOOPERATÝFÝ
Kadýnhaný;ALABAÐ;TARIMSAL SULAMA KOOPERATÝFÝ
Kadýnhaný;ATLANTI;TARIMSAL KALKINMA KOOPERATÝFÝ
Kadýnhaný;BAKIRPINAR;YOK
Kadýnhaný;BAÞKUYU;TARIMSAL SULAMA KOOPERATÝFÝ
Kadýnhaný;BAYRAMLI;YOK
Kadýnhaný;BEYKAVAÐI;TARIMSAL SULAMA KOOPERATÝFÝ
Kadýnhaný;BULGURPINAR;YOK
Kadýnhaný;ÇAVDAR;YOK
Kadýnhaný;ÇEÞMECÝK;YOK
Kadýnhaný;ÇUBUK;YOK
Kadýnhaný;DEMÝROLUK;YOK
Kadýnhaný;HACIMEHMETLÝ;TARIMSAL KALKINMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Kadýnhaný;HACIOFLAZLAR;YOK
Kadýnhaný;HACIPÝRLÝ;YOK
Kadýnhaný;KABACALI;YOK
Kadýnhaný;KAMIÞLIÖZÜ;TARIMSAL SULAMA KOOPERATÝFÝ
Kadýnhaný;KARAHÝSARLI;YOK
Kadýnhaný;KARAKURTLU;YOK
Kadýnhaný;KARASEVÝNÇ;YOK
Kadýnhaný;KARAYÜRÜKLÜ;YOK
Kadýnhaný;KIZILKUYU;YOK
Kadýnhaný;KOLUKISA;TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Kadýnhaný;KONURÖREN;YOK
Kadýnhaný;KÖKEZ;YOK
Kadýnhaný;KÖYLÜTOLU;YOK
Kadýnhaný;KURTHASANLI;YOK
Kadýnhaný;KÜÇÜKKUYU;YOK
Kadýnhaný;MAHMUDÝYE;YOK
Kadýnhaný;MEYDANLI;TARIMSAL SULAMA KOOPERATÝFÝ
Kadýnhaný;ÖRNEK;YOK
Kadýnhaný;PÝRALÝ;YOK
Kadýnhaný;PUSAT;TARIMSAL KALKINMA KOOPERATÝFÝ
Kadýnhaný;SAÇIKARA;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Kadýnhaný;SARIKAYA;YOK
Kadýnhaný;SÖÐÜTÖZÜ;YOK
Kadýnhaný;ÞAHÖREN;YOK
Kadýnhaný;TOSUNOÐLU;YOK
Kadýnhaný;YAÐLICA;YOK
Kadýnhaný;YAYLAYAKA;YOK
Karapýnar;HOTAMIÞ;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ, PANCAR EKÝCÝLERÝ KOOPERATÝFÝ
Karapýnar;KESMEZ;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Karapýnar;AKÇAYAZI;YOK
Karapýnar;AKÖREN;TARIMSAL SULAMA KOOPERATÝFÝ
Karapýnar;ÇÝÐÝL;YOK
Karapýnar;HASANOBA;TARIMSAL SULAMA KOOPERATÝFÝ
Karapýnar;ÝSLÝK;YOK
Karapýnar;KARAKIÞLA;TARIMSAL SULAMA KOOPERATÝFÝ
Karapýnar;KAYACIK;TARIMSAL SULAMA KOOPERATÝFÝ
Karapýnar;KAYALI;TARIMSAL SULAMA KOOPERATÝFÝ
Karapýnar;KAZANHÜYÜÐÜ;TARIMSAL SULAMA KOOPERATÝFÝ
Karapýnar;KÜÇÜKAÞLAMA;TARIMSAL SULAMA KOOPERATÝFÝ
Karapýnar;ORTAOBA;TARIMSAL SULAMA KOOPERATÝFÝ
Karapýnar;OYMALI;TARIMSAL SULAMA KOOPERATÝFÝ
Karapýnar;SAZLIPINAR;TARIMSAL SULAMA KOOPERATÝFÝ
Karapýnar;YAÐMAPINAR;TARIMSAL SULAMA KOOPERATÝFÝ
Karapýnar;YENÝKUYU;TARIMSAL SULAMA KOOPERATÝFÝ
Karapýnar;YEÞÝLYURT;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;YARMA;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;ACIDORT;YOK
Karatay;AÐSAKLI;YOK
Karatay;AKBAÞ;YOK
Karatay;AKÖRENKIÞLA;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;BAKIRTOLU;YOK
Karatay;BAÞGÖTÜREN;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;BEÞAÐIL;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;BÜYÜKBURNAK;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;ÇENGÝLTÝ;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;DÝVANLAR;YOK
Karatay;ESENTEPE;YOK
Karatay;GÖÇÜ;YOK
Karatay;HAYIROÐLU MERKEZ;YOK
Karatay;ÝPEKLER;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;ÝSMÝL;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;KARADONA;YOK
Karatay;KARAKAYA;TARIMSAL KALKINMA KOOPERATÝFÝ
Karatay;KATRANCI;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;KIZÖREN;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;KÖSEALÝ;YOK
Karatay;OBRUK;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;OVAKAVAÐI;TARIM KREDÝ KOOPERATÝFÝ, PANCAR EKÝCÝLERÝ KOOPERATÝFÝ
Karatay;SAKYATAN;YOK
Karatay;SÜRÜÇ;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;ÞATIR;TARIMSAL SULAMA KOOPERATÝFÝ
Karatay;YAÐLIBAYAT;YOK
Karatay;YAVÞANKUYU;YOK
Karatay;YENÝCE;YOK
Karatay;YENÝKENT;YOK
Karatay;ZÝNCÝRLÝ;YOK
Kulu;ACIKUYU;YOK
Kulu;AÐILBAÞI;YOK
Kulu;ALTILAR;YOK
Kulu;ARÞINCA;YOK
Kulu;BEÞKARDEÞ;YOK
Kulu;BOÐAZÖREN;YOK
Kulu;BOZAN;YOK
Kulu;BURUNAÐIL;TARIM KREDÝ KOOPERATÝFÝ
Kulu;CANIMANA;YOK
Kulu;CELEP;YOK
Kulu;DÝPDEDE;YOK
Kulu;DOÐUTEPE;YOK
Kulu;FEVZÝYE;YOK
Kulu;GÖKLER;YOK
Kulu;GÜZELYAYLA;TARIM KREDÝ KOOPERATÝFÝ
Kulu;HÝSAR;YOK
Kulu;KARACADAÐ;TARIMSAL SULAMA KOOPERATÝFÝ, TARIM KREDÝ KOOPERATÝFÝ
Kulu;KARACADERE;YOK
Kulu;KIRKKUYU;YOK
Kulu;KIRKPINAR;YOK
Kulu;KOZANLI;TARIMSAL SULAMA KOOPERATÝFÝ
Kulu;KÖMÜÞÝNÝ;YOK
Kulu;KÖÞKER;YOK
Kulu;SARIYAYLA;TARIMSAL SULAMA KOOPERATÝFÝ
Kulu;SEYÝTAHMETLÝ;YOK
Kulu;SOÐUKKUYU;YOK
Kulu;ÞEREFLÝ;YOK
Kulu;TAVLIÖREN;YOK
Kulu;ÖMERANLI;TARIM KREDÝ KOOPERATÝFÝ
Kulu;TUZYAKA;TARIM KREDÝ KOOPERATÝFÝ
Kulu;YARAÞLI;TARIMSAL KALKINMA KOOPERATÝFÝ
Kulu;YAZIÇAYIR;TARIMSAL KALKINMA KOOPERATÝFÝ
Kulu;YEÞÝLTEPE;YOK
Kulu;YEÞÝLYURT;TARIM KREDÝ KOOPERATÝFÝ
Kulu;ZÝNCÝRLÝKUYU;TARIM KREDÝ KOOPERATÝFÝ
Kulu;BAHADIRLI;YOK
Kulu;DEÐÝRMENÖZÜ;YOK
Meram;ERENKAYA;YOK
Meram;YATAÐAN;YOK
Meram;GÖKYURT;TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Meram;BAYAT;YOK
Meram;BORUKTOLU;YOK
Meram;BOTSA;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Meram;ÇAYIRBAÐI;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Meram;ÇOMAKLAR;YOK
Meram;ÇUKURÇÝMEN;TARIMSAL SULAMA KOOPERATÝFÝ
Meram;EVLÝYATEKKE;TARIMSAL SULAMA KOOPERATÝFÝ
Meram;HATUNSARAY;TARIMSAL SULAMA KOOPERATÝFÝ, TARIM KREDÝ KOOPERATÝFÝ
Meram;ÝKÝPINAR;YOK
Meram;ÝLYASBABA;TARIMSAL SULAMA KOOPERATÝFÝ
Meram;ÝNLÝCE;TARIMSAL SULAMA KOOPERATÝFÝ
Meram;KARAAÐAÇ;YOK
Meram;KAVAK;TARIMSAL SULAMA KOOPERATÝFÝ
Meram;KAYADÝBÝ;TARIMSAL SULAMA KOOPERATÝFÝ
Meram;KAYALI;TARIMSAL SULAMA KOOPERATÝFÝ
Meram;KAYHÜYÜK;YOK
Meram;KIZILÖREN;TARIMSAL SULAMA KOOPERATÝFÝ
Meram;KUMRALI;YOK
Meram;SADIKLAR;YOK
Meram;SAÐLIK;TARIMSAL KALKINMA KOOPERATÝFÝ
Meram;SARIKIZ;TARIMSAL KALKINMA KOOPERATÝFÝ
Meram;SEFAKÖY;TARIMSAL SULAMA KOOPERATÝFÝ
Meram;YEÞÝLDERE;TARIMSAL SULAMA KOOPERATÝFÝ
Meram;YEÞÝLTEKKE;TARIMSAL SULAMA KOOPERATÝFÝ
Meram;KAÞINHANI;TARIMSAL KALKINMA KOOPERATÝFÝ
Sarayönü;LADÝK;TARIMSAL SULAMA KOOPERATÝFÝ, TARIM KREDÝ KOOPERATÝFÝ
Sarayönü;BAHÇESARAY;TARIMSAL SULAMA KOOPERATÝFÝ
Sarayönü;BAÞHÜYÜK;TARIMSAL SULAMA KOOPERATÝFÝ
Sarayönü;BOYALI;YOK
Sarayönü;BÜYÜKZENGÝ;YOK
Sarayönü;ÇEÞMELÝSEBÝL;TARIM KREDÝ KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Sarayönü;DEÐÝRMENLÝ;YOK
Sarayönü;ERTUÐRUL;YOK
Sarayönü;GÖZLÜ;TARIMSAL SULAMA KOOPERATÝFÝ
Sarayönü;KADIOÐLU;YOK
Sarayönü;KARABIYIK;YOK
Sarayönü;KARATEPE;TARIMSAL SULAMA KOOPERATÝFÝ
Sarayönü;KAYIÖREN;TARIM KREDÝ KOOPERATÝFÝ
Sarayönü;KONAR;YOK
Sarayönü;KURÞUNLU;TARIMSAL KALKINMA KOOPERATÝFÝ
Sarayönü;KUYULUSEBÝL;TARIMSAL SULAMA KOOPERATÝFÝ
Sarayönü;ÖZKENT;TARIMSAL SULAMA KOOPERATÝFÝ
Sarayönü;YENÝCEKAYA;YOK
Selçuklu;BAÞARAKAVAK;SÜT KOOPERATÝFÝ
Selçuklu;hasan;
Selçuklu;SARAYKÖY;YOK
Selçuklu;SULUTAS;YOK
Selçuklu;TATKÖY;TARIMSAL KALKINMA KOOPERATÝFÝ
Selçuklu;AKPINAR;YOK
Selçuklu;BAÐRIKURT;YOK
Selçuklu;BÝÇER;YOK
Selçuklu;ÇALDERE;TARIMSAL SULAMA KOOPERATÝFÝ
Selçuklu;ÇALTI;TARIMSAL SULAMA KOOPERATÝFÝ
Selçuklu;ÇANDIR;YOK
Selçuklu;DAÐDERE;YOK
Selçuklu;EÐRÝBAYAT;YOK
Selçuklu;GÜVENÇ;YOK
Selçuklu;KALE;YOK
Selçuklu;KARAÖMERLER;YOK
Selçuklu;KERVAN;YOK
Selçuklu;KINIK;YOK
Selçuklu;KIZILCAKUYU;YOK
Selçuklu;MEYDAN;YOK
Selçuklu;SELAHATTÝN;YOK
Selçuklu;SIZMA;YOK
Selçuklu;TEPEKENT;TARIMSAL KALKINMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Selçuklu;ULUMUHSÝNE;YOK
Selçuklu;YAZIBELEN;TARIMSAL KALKINMA KOOPERATÝFÝ
Selçuklu;SÝLLE;TARIMSAL SULAMA KOOPERATÝFÝ
Selçuklu;ARDIÇLI;YOK
Selçuklu;AÞAÐIPINARBAÞI;TARIM KREDÝ KOOPERATÝFÝ
Selçuklu;YUKARIPINARBAÞI;TARIMSAL SULAMA KOOPERATÝFÝ
Selçuklu;KÜÇÜKMUHSÝNE;TARIMSAL KALKINMA KOOPERATÝFÝ
Selçuklu;SARICALAR;TARIMSAL SULAMA KOOPERATÝFÝ
Selçuklu;TÖMEK;YOK
Selçuklu;YÜKSELEN;TARIMSAL SULAMA KOOPERATÝFÝ
Selçuklu;Mehmet Fatih;
Seydiþehir;KESECÝK;TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;AKÇALAR;YOK
Seydiþehir;AÞAÐIKARAÖREN;YOK
Seydiþehir;BAÞKARAÖREN;YOK
Seydiþehir;BOSTANDERE;TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;BOYALI;TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;BÜKÇE;YOK
Seydiþehir;ÇAT;YOK
Seydiþehir;ÇATMAKAYA;YOK
Seydiþehir;ÇAVUÞ;TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;DÝKÝLÝTAÞ;YOK
Seydiþehir;GEVREKLÝ;YOK
Seydiþehir;GÖKÇEHÜYÜK;TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;GÖKHÜYÜK;YOK
Seydiþehir;GÖLYÜZÜ;YOK
Seydiþehir;IRMAKLI;YOK
Seydiþehir;ÝNCESU;YOK
Seydiþehir;KARABULAK;YOK
Seydiþehir;KARACAÖREN;YOK
Seydiþehir;KAVAK;YOK
Seydiþehir;KETENLÝ;TARIMSAL KALKINMA KOOPERATÝFÝ
Seydiþehir;KIZILCA;TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;KOZLU;YOK
Seydiþehir;KUMLUCA;TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;KURAN;TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;MADENLÝ;YOK
Seydiþehir;MESUDÝYE;TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;MURADÝYE;YOK
Seydiþehir;OÐLAKÇI;TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;ORTAKARAÖREN;YOK
Seydiþehir;SARAYCIK;YOK
Seydiþehir;SUSUZ;YOK
Seydiþehir;TARAÞÇI;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;TAÞAÐIL;TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;TEPECÝK;YOK
Seydiþehir;TOL;TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;UFACIK;YOK
Seydiþehir;YAYLACIK;TARIMSAL SULAMA KOOPERATÝFÝ
Seydiþehir;YENÝCE;YOK
Taþkent;AFÞAR;YOK
Taþkent;BALCILAR;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Taþkent;BOLAY;YOK
Taþkent;ÇETMÝ;TARIMSAL KALKINMA KOOPERATÝFÝ
Taþkent;KECÝMEN;YOK
Taþkent;KONGUL;YOK
Taþkent;SAZAK;YOK
Taþkent;ILICAPINAR;YOK
Tuzlukçu;KONARI;YOK
Tuzlukçu;MEVLÜTLÜ;YOK
Tuzlukçu;KORAÞI;TARIMSAL KALKINMA KOOPERATÝFÝ
Tuzlukçu;ÇÖÐÜRLÜ;TARIMSAL SULAMA KOOPERATÝFÝ
Tuzlukçu;TURSUNLU;TARIMSAL SULAMA KOOPERATÝFÝ
Tuzlukçu;KUNDULLU;YOK
Tuzlukçu;PAZARKAYA;YOK
Tuzlukçu;SUBATAN;SÜT KOOPERATÝFÝ
Tuzlukçu;GÜRSU;SÜT KOOPERATÝFÝ
Tuzlukçu;ERDOÐDU;TARIMSAL KALKINMA KOOPERATÝFÝ
Tuzlukçu;KÖKLÜCE;TARIMSAL SULAMA KOOPERATÝFÝ
Yalýhüyük;SARAY;YOK
Yalýhüyük;ARASÖÐÜT;YOK
Yunak;KUZÖREN;TARIMSAL SULAMA KOOPERATÝFÝ
Yunak;KOÇYAZI;YOK
Yunak;TURGUT;YOK
Yunak;PÝRÝBEYLÝ;YOK
Yunak;SÜLÜKLÜ;YOK
Yunak;ALTINÖZ;YOK
Yunak;AYRITEPE;YOK
Yunak;BEÞIÞIKLI;YOK
Yunak;CEBRAÝL;YOK
Yunak;ÇAYIRBAÞI;TARIMSAL KALKINMA KOOPERATÝFÝ
Yunak;EÐRÝKUYU;TARIMSAL SULAMA KOOPERATÝFÝ
Yunak;HACIÖMEROÐLU;YOK
Yunak;HATIRLI;YOK
Yunak;HACIFAKILI;YOK
Yunak;HARUNLAR;YOK
Yunak;HURSUNLU;TARIMSAL KALKINMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Yunak;ÝMAMOÐLU;YOK
Yunak;KARGALI;YOK
Yunak;KARAYAYLA;YOK
Yunak;KILLAR;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Yunak;KURTUÞAÐI;TARIMSAL KALKINMA KOOPERATÝFÝ
Yunak;KUYUBAÞI;YOK
Yunak;MEÞELÝK;YOK
Yunak;ODABAÞI;TARIMSAL SULAMA KOOPERATÝFÝ
Yunak;ORTAKIÞLA;YOK
Yunak;ÖZYAYLA;YOK
Yunak;SERTLER;SÜT KOOPERATÝFÝ
Yunak;SEVÝNÇ;TARIMSAL SULAMA KOOPERATÝFÝ
Yunak;SIRAM;YOK
Yunak;SÝNANLI;TARIMSAL SULAMA KOOPERATÝFÝ
Yunak;YAVAÞLI;YOK
Yunak;YEÞÝLOBA;YOK
Yunak;YEÞÝLYAYLA;YOK
Yunak;YIÐAR;TARIMSAL SULAMA KOOPERATÝFÝ
Yunak;SARAY;SÜT KOOPERATÝFÝ
;;
