ÝLÇE ADI;MAHALLE ADI;HAYVAN BESLEMEDE KULLANILAN ÜRÜNLER
Ereðli;TAÞBUDAK;BUÐDAY, ARPA, YONCA, SÝLAJLIK MISIR
Ereðli;TATLIKUYU;KÜSPE, YONCA, SÝLAJLIK MISIR
Ereðli;TÜRKMEN;FÝÐ, KÜSPE, YONCA, SÝLAJLIK MISIR
Ereðli;ULUMEÞE;ARPA, ÇAVDAR, SÝLAJLIK MISIR
Ereðli;YAZLIK;YULAF, ARPA, YONCA, SÝLAJLIK MISIR
Ereðli;YELLÝCE;YULAF, ARPA
Ereðli;YENÝKÖY;BUÐDAY, FÝÐ, ARPA, YONCA
Ereðli;YILDIZLI;SÝLAJLIK MISIR
Ereðli;YUKARIGÖNDELEN;FÝÐ, ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Ereðli;HORTU;SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Ereðli;ACIKUYU;BUÐDAY, KÜSPE, ARPA, YONCA, SÝLAJLIK MISIR
Güneysýnýr;GÜRAÐAÇ;ARPA, YONCA, HAZIR YEM
Güneysýnýr;AÐAÇOBA;SÝLAJLIK MISIR, HAZIR YEM
Güneysýnýr;ALANÖZÜ;BUÐDAY, FÝÐ, ARPA
Güneysýnýr;AVCITEPE;YULAF, ARPA, HAZIR YEM
Güneysýnýr;AYDOÐMUÞ;ARPA, SAMAN, HAZIR YEM
Güneysýnýr;HABÝLLER;ARPA, HAZIR YEM
Güneysýnýr;KARAGÜNEY;FÝÐ, SAMAN, YONCA
Güneysýnýr;KAYAAÐZI;BUÐDAY, KÜSPE, KEPEK, ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Güneysýnýr;KIZILÖZ;BUÐDAY, FÝÐ, ARPA, HAZIR YEM
Güneysýnýr;KURUKAVAK;KEPEK, ARPA, HAZIR YEM
Güneysýnýr;MEHMET ALÝ;BUÐDAY, KÜSPE, KEPEK, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Güneysýnýr;ÖMEROÐLU;BUÐDAY, KEPEK, HAZIR YEM
Güneysýnýr;ÖRENBOYALI;BUÐDAY, FÝÐ, KÜSPE, ARPA, HAZIR YEM
Güneysýnýr;SARIHACI;YOK
Hadim;AÞAÐIEÞENLER;HAZIR YEM
Hadim;AÞAÐIKIZILKAYA;KÜSPE, SAMAN, HAZIR YEM
Hadim;BADEMLÝ;SAMAN
Hadim;BAÐBAÞI;KÜSPE, ARPA, HAZIR YEM
Hadim;BEYRELÝ;ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Hadim;BOLAT;KÜSPE, SAMAN, HAZIR YEM
Hadim;ÇÝFTEPINAR;YOK
Hadim;DEDEMLÝ;SAMAN, HAZIR YEM
Hadim;DÜLGERLER;BUÐDAY, KÜSPE, ARPA, HAZIR YEM
Hadim;FAKILAR;SAMAN
Hadim;GAZÝLER;KÜSPE, ÇAVDAR, HAZIR YEM
Hadim;GÖYNÜKKIÞLA;ARPA, HAZIR YEM
Hadim;GÜLPINAR;KÜSPE, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Hadim;ÝÐDEÖREN;HAZIR YEM
Hadim;KALINAÐIL;ARPA, SAMAN, HAZIR YEM
Hadim;KAPLANLI;SAMAN, HAZIR YEM
Hadim;GEZLEVÝ;KÜSPE, SAMAN
Hadim;KÜPLÜCE;KÜSPE, HAZIR YEM
Hadim;ODUNCU;YOK
Hadim;SARNIÇ;KÜSPE, ARPA, SAMAN, YONCA, HAZIR YEM
Hadim;SELAHATTÝN;ARPA, HAZIR YEM
Hadim;UMURLAR;KÜSPE, ARPA
Hadim;YAÐCI;KÜSPE, SAMAN, YONCA
Hadim;YALINÇEVRE;KÜSPE, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Hadim;YELMEZ;KÜSPE, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Hadim;YENÝKONAK;KÜSPE, ARPA
Hadim;YUKARIEÞENLER;HAZIR YEM
Halkapýnar;ÝVRÝZ;KÜSPE, SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Halkapýnar;BÜYÜKDOÐAN;KÜSPE, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Halkapýnar;DEDELÝ;KÜSPE, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Halkapýnar;DELÝMAHMUTLU;KÜSPE, ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Halkapýnar;ESKÝHÝSAR;KÜSPE, ARPA, SAMAN, HAZIR YEM
Halkapýnar;KARAYUSUFLU;SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Halkapýnar;KAYASARAY;ARPA, YONCA, HAZIR YEM
Halkapýnar;KÖRLÜ;KÜSPE, YONCA, HAZIR YEM
Halkapýnar;KÜSERE;KÜSPE, ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Halkapýnar;OSMANKÖSELÝ;ARPA, SAMAN, HAZIR YEM
Halkapýnar;SEYDÝFAKILI;BUÐDAY, KÜSPE, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Halkapýnar;YASSIKAYA;KÜSPE, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Halkapýnar;YAYIKLI;KÜSPE, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Halkapýnar;YEÞÝLYURT;KÜSPE, ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Halkapýnar;ÇAKILLAR;SAMAN, YONCA, HAZIR YEM
Hüyük;BAÞLAMIÞ;BUÐDAY, YULAF, ARPA, SAMAN, HAZIR YEM
Hüyük;BUDAK;KÜSPE, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Hüyük;BURUNSUZ;ARPA, HAZIR YEM
Hüyük;ÇAMLICA;YULAF, ARPA, SAMAN, YONCA, HAZIR YEM
Hüyük;ÇAVUÞ;BUÐDAY, FÝÐ, ARPA, YONCA, HAZIR YEM
Hüyük;ÇUKURKENT;KÜSPE, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Hüyük;DEÐÝRMENALTI;BUÐDAY, ARPA
Hüyük;GÖÇERÝ;BUÐDAY, ARPA
Hüyük;GÖRÜNMEZ;KÜSPE, ARPA, HAZIR YEM
Hüyük;ÝLMEN;FÝÐ, KÜSPE, SAMAN, HAZIR YEM
Hüyük;ÝMRENLER;KÜSPE, ARPA, SÝLAJLIK MISIR, HAZIR YEM
Hüyük;KIRELÝ;FÝÐ, ARPA, SAMAN, YONCA, SÝLAJLIK MISIR
Hüyük;KÖÞK;FÝÐ, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Hüyük;MUTLU;FÝÐ, KÜSPE, ARPA, SAMAN, YONCA
Hüyük;PINARBAÞI;BUÐDAY, FÝÐ, SAMAN, SÝLAJLIK MISIR
Hüyük;SELKÝ;KÜSPE, ARPA, SÝLAJLIK MISIR, HAZIR YEM
Hüyük;SULUDERE;KÜSPE, KEPEK, ARPA, HAZIR YEM
Hüyük;TOLCA;FÝÐ, ARPA, SAMAN, SÝLAJLIK MISIR
Hüyük;YENÝCE;BUÐDAY, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;ARGITHANI;FÝÐ, ARPA, YONCA
Ilgýn;BEYKONAK;FÝÐ, YONCA, SÝLAJLIK MISIR
Ilgýn;ÇAVUÞÇUGÖL;FÝÐ, ARPA, YONCA
Ilgýn;AÐALAR;FÝÐ, ARPA, YONCA, HAZIR YEM
Ilgýn;BALKI;BUÐDAY, YULAF, FÝÐ, ARPA, SAMAN, YONCA, SÝLAJLIK MISIR
Ilgýn;BARAKMUSLU;KÜSPE, SAMAN, HAZIR YEM
Ilgýn;BELEKLER;BUÐDAY, YULAF, ARPA, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;BOÐAZKENT;BUÐDAY, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;BULCUK;BUÐDAY, ARPA, YONCA, SÝLAJLIK MISIR
Ilgýn;BÜYÜKOBA;FÝÐ, ARPA, YONCA, HAZIR YEM
Ilgýn;ÇÝÐÝL;KEPEK, HAZIR YEM
Ilgýn;ÇATAK;BUÐDAY, YULAF, FÝÐ, ARPA, HAZIR YEM
Ilgýn;ÇOBANKAYA;ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;ÇÖMLEKCÝ;ARPA, SAMAN, HAZIR YEM
Ilgýn;DEREKÖY;BUÐDAY, ARPA, HAZIR YEM
Ilgýn;DIÐRAK;YULAF, FÝÐ, ARPA, ÇAVDAR
Ilgýn;DÜÐER;BUÐDAY, ARPA, SAMAN, HAZIR YEM
Ilgýn;ELDEÞ;ARPA, HAZIR YEM
Ilgýn;GEÇÝT;YULAF, SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;GEDÝKÖREN;BUÐDAY, ARPA, ÇAVDAR, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;GÖSTERE;FÝÐ, ARPA, SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;GÖKÇEYURT;SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;GÖLYAKA;ARPA, ÇAVDAR, HAZIR YEM
Ilgýn;GÖKBUDAK;BUÐDAY, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;GÜNEYPINAR;SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;HARMANYAZI;FÝÐ, ARPA, YONCA, SÝLAJLIK MISIR
Ilgýn;ÝHSANÝYE;KÜSPE, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;KAPAKLI;BUÐDAY, ARPA, SAMAN, HAZIR YEM
Ilgýn;KARAKÖY;FÝÐ, ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;KALEKÖY;SAMAN, HAZIR YEM
Ilgýn;MAHMUTHÝSAR;ARPA, ÇAVDAR, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;MECÝDÝYE;YULAF, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;MÝSAFÝRLÝ;KÜSPE, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;OLUKPINAR;KÜSPE, YONCA, HAZIR YEM
Ilgýn;ORHANÝYE;BUÐDAY, ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;ORMANÖZÜ;SAMAN, HAZIR YEM
Ilgýn;SADIKKÖY;ARPA, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;SEBÝLLER;SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;TEKELER;KÜSPE, SAMAN, HAZIR YEM
Ilgýn;YUKARIÇÝÐÝL;YONCA, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;YORAZLAR;KÜSPE, KEPEK, ARPA, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;ZAFERÝYE;SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Ilgýn;AVDAN;YULAF, FÝÐ, KÜSPE, ARPA, SAMAN, YONCA, HAZIR YEM
Kadýnhaný;OSMANCIK;FÝÐ, YONCA
Kadýnhaný;AFÞARLI;FÝÐ, ARPA, YONCA, SÝLAJLIK MISIR
Kadýnhaný;ALABAÐ;FÝÐ, ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Kadýnhaný;ATLANTI;FÝÐ, KÜSPE, SÝLAJLIK MISIR
Kadýnhaný;BAKIRPINAR;FÝÐ, SAMAN, YONCA, SÝLAJLIK MISIR
Kadýnhaný;BAÞKUYU;KÜSPE, ARPA, SAMAN
Kadýnhaný;BAYRAMLI;BUÐDAY, ARPA, HAZIR YEM
Kadýnhaný;BEYKAVAÐI;FÝÐ, ARPA, YONCA, HAZIR YEM
Kadýnhaný;BULGURPINAR;BUÐDAY, ARPA, SAMAN, HAZIR YEM
Kadýnhaný;ÇAVDAR;FÝÐ, ARPA, HAZIR YEM
Kadýnhaný;ÇEÞMECÝK;BUÐDAY, ARPA, SAMAN
Kadýnhaný;ÇUBUK;ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Kadýnhaný;DEMÝROLUK;SÝLAJLIK MISIR, HAZIR YEM
Kadýnhaný;HACIMEHMETLÝ;ARPA, SAMAN, HAZIR YEM
Kadýnhaný;HACIOFLAZLAR;ARPA, SAMAN, HAZIR YEM
Kadýnhaný;HACIPÝRLÝ;ARPA, HAZIR YEM
Kadýnhaný;KABACALI;FÝÐ, ARPA, YONCA
Kadýnhaný;KAMIÞLIÖZÜ;YULAF, KÜSPE, ARPA, SÝLAJLIK MISIR
Kadýnhaný;KARAHÝSARLI;ARPA, HAZIR YEM
Kadýnhaný;KARAKURTLU;ARPA, SAMAN, HAZIR YEM
Kadýnhaný;KARASEVÝNÇ;ARPA, HAZIR YEM
Kadýnhaný;KARAYÜRÜKLÜ;KÜSPE, SAMAN, YONCA
Kadýnhaný;KIZILKUYU;ARPA, HAZIR YEM
Kadýnhaný;KOLUKISA;ARPA, HAZIR YEM
Kadýnhaný;KONURÖREN;ARPA, SÝLAJLIK MISIR, HAZIR YEM
Kadýnhaný;KÖKEZ;ARPA, SAMAN, HAZIR YEM
Kadýnhaný;KÖYLÜTOLU;FÝÐ, KÜSPE, SÝLAJLIK MISIR
Kadýnhaný;KURTHASANLI;ARPA, HAZIR YEM
Kadýnhaný;KÜÇÜKKUYU;YOK
Kadýnhaný;MAHMUDÝYE;SÝLAJLIK MISIR
Kadýnhaný;MEYDANLI;FÝÐ, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Kadýnhaný;ÖRNEK;YULAF, ARPA, SAMAN, HAZIR YEM
Kadýnhaný;PÝRALÝ;KÜSPE, ARPA, HAZIR YEM
Kadýnhaný;PUSAT;ARPA, SAMAN, HAZIR YEM
Kadýnhaný;SAÇIKARA;BUÐDAY, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Kadýnhaný;SARIKAYA;ARPA, SÝLAJLIK MISIR, HAZIR YEM
Kadýnhaný;SÖÐÜTÖZÜ;FÝÐ, ARPA, SAMAN, YONCA, HAZIR YEM
Kadýnhaný;ÞAHÖREN;FÝÐ, ARPA, YONCA
Kadýnhaný;TOSUNOÐLU;FÝÐ, ARPA, SÝLAJLIK MISIR, HAZIR YEM
Kadýnhaný;YAÐLICA;ARPA, SÝLAJLIK MISIR, HAZIR YEM
Kadýnhaný;YAYLAYAKA;ARPA, SAMAN
Karapýnar;HOTAMIÞ;ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Karapýnar;KESMEZ;KÜSPE, SÝLAJLIK MISIR, HAZIR YEM
Karapýnar;AKÇAYAZI;ARPA, HAZIR YEM
Karapýnar;AKÖREN;ARPA, YONCA, HAZIR YEM
Karapýnar;ÇÝÐÝL;ARPA, SAMAN, YONCA, HAZIR YEM
Karapýnar;HASANOBA;ARPA, SAMAN, YONCA, HAZIR YEM
Karapýnar;ÝSLÝK;ARPA, HAZIR YEM
Karapýnar;KARAKIÞLA;ARPA, SAMAN, YONCA, SÝLAJLIK MISIR
Karapýnar;KAYACIK;FÝÐ, YONCA
Karapýnar;KAYALI;FÝÐ, KEPEK, YONCA, HAZIR YEM
Karapýnar;KAZANHÜYÜÐÜ;HAZIR YEM
Karapýnar;KÜÇÜKAÞLAMA;YONCA, SÝLAJLIK MISIR, HAZIR YEM
Karapýnar;ORTAOBA;FÝÐ, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Karapýnar;OYMALI;YONCA, HAZIR YEM
Karapýnar;SAZLIPINAR;SAMAN, YONCA
Karapýnar;YAÐMAPINAR;ARPA, SAMAN, YONCA, SÝLAJLIK MISIR
Karapýnar;YENÝKUYU;BUÐDAY, ARPA, SÝLAJLIK MISIR, HAZIR YEM
Karapýnar;YEÞÝLYURT;ARPA, YONCA, HAZIR YEM
Karatay;YARMA;BUÐDAY, ARPA, SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Karatay;ACIDORT;ARPA, SAMAN, HAZIR YEM
Karatay;AÐSAKLI;ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Karatay;AKBAÞ;ARPA, YONCA, SÝLAJLIK MISIR
Karatay;AKÖRENKIÞLA;FÝÐ, YONCA, HAZIR YEM
Karatay;BAKIRTOLU;SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Karatay;BAÞGÖTÜREN;FÝÐ, SAMAN, YONCA
Karatay;BEÞAÐIL;BUÐDAY, ARPA, ÇAVDAR, SÝLAJLIK MISIR, HAZIR YEM
Karatay;BÜYÜKBURNAK;SAMAN, HAZIR YEM
Karatay;ÇENGÝLTÝ;KÜSPE, KEPEK, ARPA, SAMAN, YONCA, SÝLAJLIK MISIR
Karatay;DÝVANLAR;BUÐDAY, ARPA, YONCA
Karatay;ESENTEPE;ARPA, SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Karatay;GÖÇÜ;FÝÐ, SAMAN, YONCA, HAZIR YEM
Karatay;HAYIROÐLU MERKEZ;FÝÐ, ARPA, HAZIR YEM
Karatay;ÝPEKLER;SAMAN, YONCA, SÝLAJLIK MISIR
Karatay;ÝSMÝL;KÜSPE, ARPA, SÝLAJLIK MISIR
Karatay;KARADONA;BUÐDAY, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Karatay;KARAKAYA;SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Karatay;KATRANCI;ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Karatay;KIZÖREN;KÜSPE, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Karatay;KÖSEALÝ;ARPA, SÝLAJLIK MISIR, HAZIR YEM
Karatay;OBRUK;FÝÐ, YONCA, HAZIR YEM
Karatay;OVAKAVAÐI;FÝÐ, SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Karatay;SAKYATAN;FÝÐ, KÜSPE, ARPA, YONCA, HAZIR YEM
Karatay;SÜRÜÇ;ARPA, SÝLAJLIK MISIR, HAZIR YEM
Karatay;ÞATIR;SAMAN, SÝLAJLIK MISIR
Karatay;YAÐLIBAYAT;BUÐDAY, KEPEK, ARPA, HAZIR YEM
Karatay;YAVÞANKUYU;YULAF, KÜSPE, ARPA, SÝLAJLIK MISIR, HAZIR YEM
Karatay;YENÝCE;ARPA, HAZIR YEM
Karatay;YENÝKENT;KÜSPE, SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Karatay;ZÝNCÝRLÝ;ARPA, SAMAN, YONCA, HAZIR YEM
Kulu;ACIKUYU;YULAF, KÜSPE, KEPEK, SAMAN, HAZIR YEM
Kulu;AÐILBAÞI;YULAF, FÝÐ, ARPA, SÝLAJLIK MISIR
Kulu;ALTILAR;FÝÐ, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Kulu;ARÞINCA;BUÐDAY, ARPA, HAZIR YEM
Kulu;BEÞKARDEÞ;ARPA, SAMAN, HAZIR YEM
Kulu;BOÐAZÖREN;YULAF, KÜSPE, ARPA, SAMAN, HAZIR YEM
Kulu;BOZAN;KÜSPE, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Kulu;BURUNAÐIL;KÜSPE, ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Kulu;CANIMANA;ARPA, HAZIR YEM
Kulu;CELEP;KÜSPE, ARPA, YONCA, SÝLAJLIK MISIR
Kulu;DÝPDEDE;ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Kulu;DOÐUTEPE;ARPA, YONCA, HAZIR YEM
Kulu;FEVZÝYE;FÝÐ, SAMAN
Kulu;GÖKLER;ARPA, SAMAN, HAZIR YEM
Kulu;GÜZELYAYLA;ARPA, SAMAN, SÝLAJLIK MISIR
Kulu;HÝSAR;ARPA, HAZIR YEM
Kulu;KARACADAÐ;ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Kulu;KARACADERE;KÜSPE, ARPA, HAZIR YEM
Kulu;KIRKKUYU;ARPA, SAMAN
Kulu;KIRKPINAR;KÜSPE, ARPA, HAZIR YEM
Kulu;KOZANLI;ARPA, SAMAN, HAZIR YEM
Kulu;KÖMÜÞÝNÝ;BUÐDAY, ARPA, HAZIR YEM
Kulu;KÖÞKER;ARPA, SAMAN, YONCA, HAZIR YEM
Kulu;SARIYAYLA;YONCA, SÝLAJLIK MISIR, HAZIR YEM
Kulu;SEYÝTAHMETLÝ;SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Kulu;SOÐUKKUYU;ARPA, SAMAN, HAZIR YEM
Kulu;ÞEREFLÝ;ARPA, HAZIR YEM
Kulu;TAVLIÖREN;FÝÐ, ARPA, HAZIR YEM
Kulu;ÖMERANLI;KÜSPE, ARPA, SAMAN, HAZIR YEM
Kulu;TUZYAKA;KÜSPE, SÝLAJLIK MISIR, HAZIR YEM
Kulu;YARAÞLI;ARPA, SAMAN, HAZIR YEM
Kulu;YAZIÇAYIR;ARPA, SAMAN, HAZIR YEM
Kulu;YEÞÝLTEPE;BUÐDAY, YULAF, KEPEK, ARPA, SAMAN
Kulu;YEÞÝLYURT;ARPA, SÝLAJLIK MISIR, HAZIR YEM
Kulu;ZÝNCÝRLÝKUYU;KÜSPE, ARPA, SAMAN, HAZIR YEM
Kulu;BAHADIRLI;BUÐDAY, ARPA, SÝLAJLIK MISIR, HAZIR YEM
Kulu;DEÐÝRMENÖZÜ;YONCA, HAZIR YEM
Meram;ERENKAYA;ARPA, SAMAN, HAZIR YEM
Meram;YATAÐAN;BUÐDAY, ARPA, SAMAN
Meram;GÖKYURT;ARPA, SÝLAJLIK MISIR
Meram;BAYAT;SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Meram;BORUKTOLU;ARPA, SAMAN, HAZIR YEM
Meram;BOTSA;KÜSPE, ARPA, YONCA, SÝLAJLIK MISIR
Meram;ÇAYIRBAÐI;BUÐDAY, ARPA, YONCA, HAZIR YEM
Meram;ÇOMAKLAR;BUÐDAY, ARPA, SAMAN, YONCA, SÝLAJLIK MISIR
Meram;ÇUKURÇÝMEN;BUÐDAY, ARPA, SAMAN, HAZIR YEM
Meram;EVLÝYATEKKE;ARPA, SAMAN, YONCA, HAZIR YEM
Meram;HATUNSARAY;FÝÐ, KÜSPE, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Meram;ÝKÝPINAR;KÜSPE, SAMAN, HAZIR YEM
Meram;ÝLYASBABA;KÜSPE, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Meram;ÝNLÝCE;ARPA, SAMAN, HAZIR YEM
Meram;KARAAÐAÇ;BUÐDAY, ARPA, SAMAN, HAZIR YEM
Meram;KAVAK;BUÐDAY, ARPA, ÇAVDAR, SÝLAJLIK MISIR, HAZIR YEM
Meram;KAYADÝBÝ;BUÐDAY, ARPA, SAMAN, HAZIR YEM
Meram;KAYALI;BUÐDAY, ARPA, SAMAN, HAZIR YEM
Meram;KAYHÜYÜK;ARPA, YONCA, HAZIR YEM
Meram;KIZILÖREN;YULAF, ARPA
Meram;KUMRALI;YULAF, ARPA, SAMAN, HAZIR YEM
Meram;SADIKLAR;YULAF, KÜSPE, ARPA, SAMAN
Meram;SAÐLIK;ARPA, SAMAN, YONCA, HAZIR YEM
Meram;SARIKIZ;SAMAN, HAZIR YEM
Meram;SEFAKÖY;BUÐDAY, ARPA, SAMAN, HAZIR YEM
Meram;YEÞÝLDERE;BUÐDAY, KÜSPE, ARPA
Meram;YEÞÝLTEKKE;SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Meram;KAÞINHANI;FÝÐ, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Sarayönü;LADÝK;BUÐDAY, FÝÐ, ARPA, YONCA, SÝLAJLIK MISIR
Sarayönü;BAHÇESARAY;SAMAN, HAZIR YEM
Sarayönü;BAÞHÜYÜK;BUÐDAY, ARPA, SAMAN, HAZIR YEM
Sarayönü;BOYALI;BUÐDAY, YULAF, FÝÐ, ARPA
Sarayönü;BÜYÜKZENGÝ;FÝÐ, ÇAVDAR, YONCA, SÝLAJLIK MISIR
Sarayönü;ÇEÞMELÝSEBÝL;ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Sarayönü;DEÐÝRMENLÝ;FÝÐ, KÜSPE, ARPA, SAMAN, YONCA
Sarayönü;ERTUÐRUL;BUÐDAY, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Sarayönü;GÖZLÜ;YULAF, KÜSPE, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Sarayönü;KADIOÐLU;SAMAN, HAZIR YEM
Sarayönü;KARABIYIK;HAZIR YEM
Sarayönü;KARATEPE;YULAF, FÝÐ, KÜSPE, KEPEK, ARPA, YONCA, SÝLAJLIK MISIR
Sarayönü;KAYIÖREN;SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Sarayönü;KONAR;KÜSPE, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Sarayönü;KURÞUNLU;FÝÐ, ARPA, SAMAN
Sarayönü;KUYULUSEBÝL;YOK
Sarayönü;ÖZKENT;ARPA, SÝLAJLIK MISIR, HAZIR YEM
Sarayönü;YENÝCEKAYA;SAMAN, HAZIR YEM
Selçuklu;BAÞARAKAVAK;ARPA, YONCA, HAZIR YEM
Selçuklu;hasan;
Selçuklu;SARAYKÖY;ARPA, SAMAN
Selçuklu;SULUTAS;ARPA, SAMAN, HAZIR YEM
Selçuklu;TATKÖY;YONCA, HAZIR YEM
Selçuklu;AKPINAR;HAZIR YEM
Selçuklu;BAÐRIKURT;ARPA, HAZIR YEM
Selçuklu;BÝÇER;BUÐDAY, FÝÐ, ARPA, HAZIR YEM
Selçuklu;ÇALDERE;ARPA, ÇAVDAR, YONCA, HAZIR YEM
Selçuklu;ÇALTI;ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Selçuklu;ÇANDIR;SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Selçuklu;DAÐDERE;SAMAN, YONCA, HAZIR YEM
Selçuklu;EÐRÝBAYAT;FÝÐ, ARPA, YONCA
Selçuklu;GÜVENÇ;HAZIR YEM
Selçuklu;KALE;ARPA, HAZIR YEM
Selçuklu;KARAÖMERLER;BUÐDAY, ARPA, SÝLAJLIK MISIR
Selçuklu;KERVAN;ARPA, SAMAN, HAZIR YEM
Selçuklu;KINIK;ARPA, SAMAN, HAZIR YEM
Selçuklu;KIZILCAKUYU;ARPA, HAZIR YEM
Selçuklu;MEYDAN;BUÐDAY, ARPA, SAMAN
Selçuklu;SELAHATTÝN;BUÐDAY, FÝÐ, KÜSPE, ARPA, SAMAN
Selçuklu;SIZMA;ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Selçuklu;TEPEKENT;SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Selçuklu;ULUMUHSÝNE;KÜSPE, ARPA, HAZIR YEM
Selçuklu;YAZIBELEN;BUÐDAY, ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Selçuklu;SÝLLE;HAZIR YEM
Selçuklu;ARDIÇLI;ARPA, HAZIR YEM
Selçuklu;AÞAÐIPINARBAÞI;KEPEK, ARPA, HAZIR YEM
Selçuklu;YUKARIPINARBAÞI;ARPA, SÝLAJLIK MISIR, HAZIR YEM
Selçuklu;KÜÇÜKMUHSÝNE;KÜSPE, KEPEK, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
