ÝLÇE ADI;MAHALLE ADI;TALEP EDÝLEN TARIMSAL EÐÝTÝMLER
Çumra;OKÇU;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;YENÝSU;HAYVANCILIK
Çumra;APA;ARI YETÝÞTÝRÝCÝLÝÐÝ
Çumra;ABDÝTOLU;MODERN SULAMA SÝSTEMLERÝ, KIRSALDAN KENTE GÜVENLÝ GIDA, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;ADAKALE;HAYVANCILIK
Çumra;ALEMDAR;MODERN SULAMA SÝSTEMLERÝ, MODERN MEYVECÝLÝK, HAYVANCILIK
Çumra;APASARAYCIK;HAYVANCILIK
Çumra;AFÞAR;HAYVANCILIK
Çumra;AVDUL;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;BALÇIKHÝSAR;KIRSALDAN KENTE GÜVENLÝ GIDA, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;BEYLERCE;MODERN SULAMA SÝSTEMLERÝ, KIRSALDAN KENTE GÜVENLÝ GIDA, HAYVANCILIK
Çumra;B.AÞLAMA;MODERN SULAMA SÝSTEMLERÝ, KIRSALDAN KENTE GÜVENLÝ GIDA, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, ARI YETÝÞTÝRÝCÝLÝÐÝ, TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;CÝCEK;HAYVANCILIK
Çumra;ÇUKURKAVAK;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;DÝNLENDÝK;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;DÝNEKSARAY;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;DOÐANLI;YOK
Çumra;FETHÝYE;MODERN SULAMA SÝSTEMLERÝ, KIRSALDAN KENTE GÜVENLÝ GIDA, HAYVANCILIK, TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;GÖKHÜYÜK;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;ERENTEPE;YOK
Çumra;ÝNLÝ;HAYVANCILIK
Çumra;KUZUCU;HAYVANCILIK
Çumra;KÜÇÜKKÖY;MODERN SULAMA SÝSTEMLERÝ, KIRSALDAN KENTE GÜVENLÝ GIDA, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;SEÇME;KIRSALDAN KENTE GÜVENLÝ GIDA, MODERN MEYVECÝLÝK, HAYVANCILIK
Çumra;SÜRGÜÇ;MODERN SULAMA SÝSTEMLERÝ, KIRSALDAN KENTE GÜVENLÝ GIDA, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;TAHTALI;YOK
Çumra;T.KARAHÜYÜK;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;TAÞAÐIL;HAYVANCILIK
Çumra;UZUNKUYU;HAYVANCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;ÜÇHÜYÜK;YOK
Çumra;ÜRÜNLÜ;KIRSALDAN KENTE GÜVENLÝ GIDA, HAYVANCILIK
Çumra;YÖRÜKCAMÝLÝ;MODERN BAÐCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Çumra;ÇAYBAÞI;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK, BÝOTEKNÝK MÜCADELE VE ÝYÝ TARIM UYGULAMALARI
Derbent;ÇÝFTLÝKÖZÜ;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Derbent;DEÐÝÞ;KIRSALDAN KENTE GÜVENLÝ GIDA, HAYVANCILIK
Derbent;TEKKE;HAYVANCILIK, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Derbent;GÜNEYKÖY;MODERN MEYVECÝLÝK, HAYVANCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Derbent;MÜLAYÝM;ARI YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Derbent;SARAYPINAR;KIRSALDAN KENTE GÜVENLÝ GIDA
Derbent;YASSIÖREN;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK
Derbent;SÜLEYMAN;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Derbent;KARALAR;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Derebucak;ÇAMLIK;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK
Derebucak;DURAK;YOK
Derebucak;GENCEK;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, BÝOTEKNÝK MÜCADELE VE ÝYÝ TARIM UYGULAMALARI
Derebucak;GÖYNEM;MODERN SULAMA SÝSTEMLERÝ, KIRSALDAN KENTE GÜVENLÝ GIDA, SEBZE YETÝÞTÝRÝCÝLÝÐÝ
Derebucak;PINARBAÞI;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Derebucak;TAÞLIPINAR;YOK
Derebucak;TEPEARASI;YOK
Derebucak;UÐURLU;HAYVANCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Doðanhisar;BAÞKÖY;ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Doðanhisar;YAZLICA;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Doðanhisar;AYASLAR;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Doðanhisar;ÇINAROBA;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, HAYVANCILIK
Doðanhisar;DEÞTÝÐÝN;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Doðanhisar;FIRINLI;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, ARI YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ, MANTAR YETÝÞTÝRÝCÝLÝÐÝ
Doðanhisar;GÜVENDÝK;HAYVANCILIK, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Doðanhisar;ÝLYASLAR;TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ
Doðanhisar;KARAAÐA;YOK
Doðanhisar;KEMER;HAYVANCILIK
Doðanhisar;KOÇAÞ;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Doðanhisar;KONAKKALE;HAYVANCILIK, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Doðanhisar;TEKKE;YOK
Doðanhisar;UNCULAR;HAYVANCILIK, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Doðanhisar;YAZIR;ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Doðanhisar;YENÝCE;MODERN MEYVECÝLÝK, HAYVANCILIK
Emirgazi;EKÝZLÝ;HAYVANCILIK
Emirgazi;AKMESCÝT;MODERN SULAMA SÝSTEMLERÝ
Emirgazi;BESCÝ;HAYVANCILIK
Emirgazi;DEMÝRCÝ;HAYVANCILIK
Emirgazi;GÖLÖREN;KIRSALDAN KENTE GÜVENLÝ GIDA
Emirgazi;IÞIKLAR;KIRSALDAN KENTE GÜVENLÝ GIDA, HAYVANCILIK
Emirgazi;KARAÖREN;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Emirgazi;MEÞELÝ;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK
Emirgazi;ÖBEKTAÞ;YOK
Emirgazi;YAMAÇ;HAYVANCILIK
Ereðli;ZENGEN;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;ACIPINAR;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;ADABAÐ;HAYVANCILIK
Ereðli;AKHÜYÜK;HAYVANCILIK
Ereðli;ALHAN;MODERN SULAMA SÝSTEMLERÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;AÞAÐI GÖNDELEN;TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;AÞIKLAR;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;AZÝZÝYE;YOK
Ereðli;BAHÇELÝ;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;BELCEAÐAÇ;HAYVANCILIK
Ereðli;BELKAYA;MODERN SULAMA SÝSTEMLERÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;BEYKÖY;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;BEYÖREN;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;BULGURLUK;HAYVANCILIK
Ereðli;BURHANÝYE;HAYVANCILIK
Ereðli;BÜYÜKDEDE;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, MODERN BAÐCILIK, TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;ÇAKMAK;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;ÇAYHAN;HAYVANCILIK
Ereðli;ÇÝLLER;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;ÇÝMENCÝK;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK
Ereðli;GAYBÝ;MODERN SULAMA SÝSTEMLERÝ, MODERN MEYVECÝLÝK, HAYVANCILIK
Ereðli;GÖKÇEYAZI;MODERN SULAMA SÝSTEMLERÝ, MODERN MEYVECÝLÝK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;GÖKTÖME;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;HACIMEMÝÞ;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;KAMIÞLIKUYU;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;KARABURUN;HAYVANCILIK
Ereðli;KARGACI;HAYVANCILIK
Ereðli;KIZILGEDÝK;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;KUSKUNCUK;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;KUTÖREN;HAYVANCILIK
Ereðli;KUZUKUYU;HAYVANCILIK, TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;MELÝCEK;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;ORHANÝYE;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;ÖZGÜRLER;HAYVANCILIK
Ereðli;PINARÖZÜ;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;SARICA;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;SARITOPALLI;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;SELVÝLÝ;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK
Ereðli;TAÞAÐIL;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;TAÞBUDAK;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK
Ereðli;TATLIKUYU;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;TÜRKMEN;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;ULUMEÞE;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK
Ereðli;YAZLIK;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, HAYVANCILIK
Ereðli;YELLÝCE;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;YENÝKÖY;MODERN SULAMA SÝSTEMLERÝ, MODERN MEYVECÝLÝK, HAYVANCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ, BÝOTEKNÝK MÜCADELE VE ÝYÝ TARIM UYGULAMALARI
Ereðli;YILDIZLI;MODERN SULAMA SÝSTEMLERÝ, MODERN MEYVECÝLÝK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;YUKARIGÖNDELEN;HAYVANCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ, MANTAR YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;HORTU;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK, TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ereðli;ACIKUYU;HAYVANCILIK
Güneysýnýr;GÜRAÐAÇ;MODERN BAÐCILIK
Güneysýnýr;AÐAÇOBA;KIRSALDAN KENTE GÜVENLÝ GIDA, HAYVANCILIK
Güneysýnýr;ALANÖZÜ;MODERN BAÐCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ, BÝOTEKNÝK MÜCADELE VE ÝYÝ TARIM UYGULAMALARI
Güneysýnýr;AVCITEPE;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Güneysýnýr;AYDOÐMUÞ;HAYVANCILIK, TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Güneysýnýr;HABÝLLER;MODERN MEYVECÝLÝK, HAYVANCILIK
Güneysýnýr;KARAGÜNEY;HAYVANCILIK, MODERN BAÐCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Güneysýnýr;KAYAAÐZI;MODERN SULAMA SÝSTEMLERÝ, MODERN MEYVECÝLÝK, HAYVANCILIK, MODERN BAÐCILIK, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Güneysýnýr;KIZILÖZ;MODERN MEYVECÝLÝK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Güneysýnýr;KURUKAVAK;MODERN MEYVECÝLÝK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Güneysýnýr;MEHMET ALÝ;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK, TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ
Güneysýnýr;ÖMEROÐLU;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, MODERN BAÐCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Güneysýnýr;ÖRENBOYALI;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK
Güneysýnýr;SARIHACI;MODERN MEYVECÝLÝK, MODERN BAÐCILIK, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Hadim;AÞAÐIEÞENLER;MODERN MEYVECÝLÝK, MODERN BAÐCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Hadim;AÞAÐIKIZILKAYA;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK
Hadim;BADEMLÝ;MODERN MEYVECÝLÝK
Hadim;BAÐBAÞI;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, HAYVANCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Hadim;BEYRELÝ;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Hadim;BOLAT;KIRSALDAN KENTE GÜVENLÝ GIDA, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, HAYVANCILIK, MODERN BAÐCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Hadim;ÇÝFTEPINAR;MODERN MEYVECÝLÝK, MODERN BAÐCILIK
Hadim;DEDEMLÝ;YOK
Hadim;DÜLGERLER;TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ
Hadim;FAKILAR;HAYVANCILIK, MODERN BAÐCILIK
Hadim;GAZÝLER;MODERN MEYVECÝLÝK, MODERN BAÐCILIK
Hadim;GÖYNÜKKIÞLA;MODERN MEYVECÝLÝK, MODERN BAÐCILIK
Hadim;GÜLPINAR;YOK
Hadim;ÝÐDEÖREN;YOK
Hadim;KALINAÐIL;KIRSALDAN KENTE GÜVENLÝ GIDA, HAYVANCILIK, MODERN BAÐCILIK
Hadim;KAPLANLI;YOK
Hadim;GEZLEVÝ;KIRSALDAN KENTE GÜVENLÝ GIDA, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, HAYVANCILIK, MODERN BAÐCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Hadim;KÜPLÜCE;YOK
Hadim;ODUNCU;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Hadim;SARNIÇ;MODERN MEYVECÝLÝK
Hadim;SELAHATTÝN;MODERN MEYVECÝLÝK, HAYVANCILIK, MODERN BAÐCILIK
Hadim;UMURLAR;HAYVANCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Hadim;YAÐCI;MODERN MEYVECÝLÝK, MODERN BAÐCILIK
Hadim;YALINÇEVRE;SEBZE YETÝÞTÝRÝCÝLÝÐÝ
Hadim;YELMEZ;MODERN MEYVECÝLÝK, MODERN BAÐCILIK
Hadim;YENÝKONAK;MODERN MEYVECÝLÝK, HAYVANCILIK, MODERN BAÐCILIK
Hadim;YUKARIEÞENLER;MODERN MEYVECÝLÝK, MODERN BAÐCILIK
Halkapýnar;ÝVRÝZ;MODERN SULAMA SÝSTEMLERÝ, MODERN MEYVECÝLÝK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Halkapýnar;BÜYÜKDOÐAN;MODERN MEYVECÝLÝK, HAYVANCILIK, MODERN BAÐCILIK
Halkapýnar;DEDELÝ;MODERN MEYVECÝLÝK, HAYVANCILIK
Halkapýnar;DELÝMAHMUTLU;MODERN MEYVECÝLÝK, HAYVANCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Halkapýnar;ESKÝHÝSAR;HAYVANCILIK
Halkapýnar;KARAYUSUFLU;YOK
Halkapýnar;KAYASARAY;MODERN MEYVECÝLÝK, HAYVANCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Halkapýnar;KÖRLÜ;MODERN MEYVECÝLÝK, HAYVANCILIK
Halkapýnar;KÜSERE;KIRSALDAN KENTE GÜVENLÝ GIDA, HAYVANCILIK
Halkapýnar;OSMANKÖSELÝ;ARI YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ, MANTAR YETÝÞTÝRÝCÝLÝÐÝ
Halkapýnar;SEYDÝFAKILI;HAYVANCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Halkapýnar;YASSIKAYA;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ
Halkapýnar;YAYIKLI;MODERN SULAMA SÝSTEMLERÝ, KIRSALDAN KENTE GÜVENLÝ GIDA, MODERN MEYVECÝLÝK, HAYVANCILIK, MODERN BAÐCILIK
Halkapýnar;YEÞÝLYURT;HAYVANCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ, MANTAR YETÝÞTÝRÝCÝLÝÐÝ
Halkapýnar;ÇAKILLAR;YOK
Hüyük;BAÞLAMIÞ;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, ARI YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Hüyük;BUDAK;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, HAYVANCILIK, ARI YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Hüyük;BURUNSUZ;YOK
Hüyük;ÇAMLICA;MODERN MEYVECÝLÝK, HAYVANCILIK, MANTAR YETÝÞTÝRÝCÝLÝÐÝ
Hüyük;ÇAVUÞ;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Hüyük;ÇUKURKENT;KIRSALDAN KENTE GÜVENLÝ GIDA, MODERN MEYVECÝLÝK, HAYVANCILIK
Hüyük;DEÐÝRMENALTI;ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Hüyük;GÖÇERÝ;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Hüyük;GÖRÜNMEZ;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Hüyük;ÝLMEN;ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Hüyük;ÝMRENLER;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Hüyük;KIRELÝ;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, HAYVANCILIK
Hüyük;KÖÞK;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, ARI YETÝÞTÝRÝCÝLÝÐÝ
Hüyük;MUTLU;HAYVANCILIK
Hüyük;PINARBAÞI;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Hüyük;SELKÝ;HAYVANCILIK
Hüyük;SULUDERE;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, MODERN MEYVECÝLÝK, ARI YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Hüyük;TOLCA;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK
Hüyük;YENÝCE;MODERN SULAMA SÝSTEMLERÝ, SEBZE YETÝÞTÝRÝCÝLÝÐÝ, ÇÝLEK YETÝÞTÝRÝCÝLÝÐÝ
Ilgýn;ARGITHANI;SEBZE YETÝÞTÝRÝCÝLÝÐÝ, HAYVANCILIK, TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ, BÝOTEKNÝK MÜCADELE VE ÝYÝ TARIM UYGULAMALARI
Ilgýn;BEYKONAK;YOK
Ilgýn;ÇAVUÞÇUGÖL;YOK
Ilgýn;AÐALAR;HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
Ilgýn;BALKI;HAYVANCILIK
Ilgýn;BARAKMUSLU;MODERN MEYVECÝLÝK, HAYVANCILIK
Ilgýn;BELEKLER;MODERN SULAMA SÝSTEMLERÝ, HAYVANCILIK, TARLA BÝTKÝLERÝ YETÝÞTÝRÝCÝLÝÐÝ
