,İLÇE ADI,MAHALLE ADI,"ARICILIK
","BESLENEN HAYVAN TÜRLERİ
","SULAMA SUYU KAYNAĞI YÖNETİMİ
","HAYVAN BESLEMEDE KULLANILAN ÜRÜNLER
","SULANABİLİR ALANDA YETİŞTİRİLEN ÜRÜNLER
","TARIMSAL SULAMA SUYU KAYNAĞI
","İYİ TARIM UYGULAMALARI
","TARIMSAL SULAMA SUYU
","DOĞRUDAN SATIN ALINABİLECEK ÜRÜNLER
","SULAK ALAN MİKTARI
","MEŞHUR ÜRÜNLER
","EN ÇOK YETİŞTİRİLEN ÜRÜNLER
","TRAKTÖR SAYISI
","BİREYSEL ARAZİ ORTALAMASI
","ALTERNATİF YENİ ÜRÜN ÇEŞİTLERİ ÜRETİMİ
","ENDEMİK (SADECE BU BÖLGEDE YETİŞEN) BİTKİLER
","TALEP EDİLEN TARIMSAL EĞİTİMLER
","TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
"
","50 Adet
","70 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ
","ÇÖREKOTU
"

87,Cihanbeyli,MUTLUKONAK,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","FİĞ, ARPA, HAZIR YEM
","BUĞDAY, ARPA, ELMA, KİRAZ, VİŞNE, ÜZÜM
","ŞAHSİ KUYULAR, DERE, AKARSU
","HAYIR
","VAR
","BUĞDAY, ARPA
","10%
","YAĞ, PEYNİR
","BUĞDAY, ARPA, PATLICAN
","80 Adet
","50 Dekar
","YOK
","YOK
","HAYVANCILIK
","REZENE, KİMYON
"

88,Cihanbeyli,SIĞIRCIK,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","KÜSPE, ARPA, SİLAJLIK MISIR
","BUĞDAY, ARPA, AYÇİÇEĞİ
","YERALTI SULARI
","HAYIR
","VAR
","BUĞDAY, ARPA
","5%
","SÜT, CANLI HAYVAN
","BUĞDAY, ARPA
","20 Adet
","25 Dekar
","AYÇİÇEĞİ
","YOK
","HAYVANCILIK
","KİMYON
"

89,Cihanbeyli,TÜFEKÇİPINAR,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, AYÇİÇEĞİ, FASULYE
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","BUĞDAY, YULAF, ARPA, MERCİMEK, KİMYON
","25%
","PEYNİR
","BUĞDAY, YULAF, ARPA, MERCİMEK, KİMYON, KANOLA
","30 Adet
","40 Dekar
","KANOLA, ASPİR
","YOK
","HAYVANCILIK
","KİMYON
"

90,Cihanbeyli,UZUNCAYAYLA,"HAYIR
","KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","YULAF, ARPA, HAZIR YEM
","MISIR, AYÇİÇEĞİ
","ŞAHSİ KUYULAR
","EVET
","VAR
","MISIR, BUĞDAY, ARPA, AYÇİÇEĞİ
","10%
","SÜT, YOĞURT
","BUĞDAY, ARPA
","30 Adet
","120 Dekar
","ASPİR
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
","KİMYON
"

91,Cihanbeyli,YÜNLÜKUYU,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","YOK
","ARPA, SAMAN, HAZIR YEM
","YOK
","YOK
","HAYIR
","YOK
","NOHUT, BUĞDAY, YULAF, ARPA, MERCİMEK, KİMYON
","0%
","SÜT, YAĞ, YOĞURT, CANLI HAYVAN, PEYNİR
","BUĞDAY, ARPA, NOHUT
","15 Adet
","150 Dekar
","ASPİR
","YOK
","HAYVANCILIK
","KİMYON
"

92,Cihanbeyli,GÖLYAZI,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","YULAF, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","ŞEKER PANCARI, BUĞDAY, ARPA, ÇAVDAR
","15%
","SÜT, YOĞURT, PEYNİR
","BUĞDAY, ÇAVDAR, ARPA
","500 Adet
","75 Dekar
","ASPİR
","YOK
","HAYVANCILIK
","ÇÖREKOTU, KİMYON
"

93,Cihanbeyli,GÜNYÜZÜ,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","HAZIR YEM
","ŞEKER PANCARI, AYÇİÇEĞİ
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","ŞEKER PANCARI, BUĞDAY, AYÇİÇEĞİ
","60%
","SÜT, YOĞURT, CANLI HAYVAN, PEYNİR
","BUĞDAY, AYÇİÇEĞİ, ŞEKER PANCARI
","300 Adet
","150 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

94,Cihanbeyli,KANDİL,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, SAMAN, HAZIR YEM
","BUĞDAY, ARPA, NOHUT, MERCİMEK, KİMYON
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, YULAF, ARPA, MERCİMEK, KİMYON
","10%
","YAĞ, YOĞURT, PEYNİR
","BUĞDAY, YULAF, ARPA, MERCİMEK
","300 Adet
","80 Dekar
","YOK
","YOK
","YOK
","KİMYON
"

95,Cihanbeyli,KARABAĞ,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","YOK
","SAMAN, HAZIR YEM
","YOK
","YOK
","HAYIR
","YOK
","NOHUT, BUĞDAY, ARPA
","0%
","SÜT, YAĞ, YOĞURT, CANLI HAYVAN
","BUĞDAY, ARPA
","100 Adet
","100 Dekar
","YOK
","YOK
","YOK
","YOK
"

96,Cihanbeyli,KELHASAN,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, SİLAJLIK MISIR, HAZIR YEM
","AYÇİÇEĞİ, YONCA
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, ARPA, MERCİMEK, KİMYON
","10%
","SÜT, PEYNİR
","BUĞDAY, ARPA, MERCİMEK, KİMYON, NOHUT
","500 Adet
","145 Dekar
","ANASON, ASPİR
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","ANASON
"

97,Cihanbeyli,KUŞCA,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, PATATES, NOHUT, ARPA, AYÇİÇEĞİ, KİMYON
","20%
","SÜT
","MISIR, BUĞDAY, ARPA, KİMYON
","200 Adet
","150 Dekar
","ASPİR
","YOK
","HAYVANCILIK
","ÇÖREKOTU, KİMYON
"

98,Cihanbeyli,KÜTÜKUŞAĞI,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","FİĞ, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KAVUN, KARPUZ
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","ŞEKER PANCARI, BUĞDAY, DOMATES, ARPA, KAVUN, PATLICAN
","15%
","YOĞURT, PEYNİR
","MISIR, BUĞDAY, ARPA, ŞEKER PANCARI
","300 Adet
","150 Dekar
","KANOLA, ASPİR
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

99,Cihanbeyli,BEYLİOVA,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","FİĞ, KÜSPE, ARPA, YONCA
","MISIR, AYÇİÇEĞİ, PATATES
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, PATATES, NOHUT, BUĞDAY, ARPA, AYÇİÇEĞİ
","40%
","SÜT, YAĞ, YOĞURT, PEYNİR
","BUĞDAY, ARPA, AYÇİÇEĞİ
","100 Adet
","60 Dekar
","KANOLA, ASPİR
","YOK
","MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

100,Cihanbeyli,ÇİMEN,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, HAZIR YEM
","ŞEKER PANCARI
","YERALTI SULARI
","HAYIR
","VAR
","NOHUT, BUĞDAY, FİĞ, ARPA, MERCİMEK, KİMYON
","10%
","SÜT, YAĞ, YOĞURT, CANLI HAYVAN, PEYNİR
","BUĞDAY, ARPA
","80 Adet
","45 Dekar
","YOK
","YOK
","HAYVANCILIK
","KİMYON
"

101,Cihanbeyli,ÇÖL,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","FİĞ, ARPA, YONCA, HAZIR YEM
","ŞEKER PANCARI, MISIR
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","ŞEKER PANCARI, BUĞDAY, ARPA
","15%
","SÜT, YOĞURT, PEYNİR
","BUĞDAY, ARPA, ŞEKER PANCARI
","250 Adet
","100 Dekar
","YOK
","YOK
","HAYVANCILIK
","KİMYON
"

102,Cihanbeyli,DAMLAKUYU,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","YOK
","KÜSPE, HAZIR YEM
","YOK
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","BUĞDAY, ARPA
","10%
","SÜT, YOĞURT, PEYNİR
","BUĞDAY, ARPA
","100 Adet
","160 Dekar
","ASPİR
","YOK
","HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

103,Cihanbeyli,BULDUK,"HAYIR
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","BUĞDAY, ARPA, SAMAN
","YOK
","YOK
","HAYIR
","YOK
","BUĞDAY, ARPA
","0%
","SÜT
","BUĞDAY, ASPİR, YULAF, ARPA
","30 Adet
","100 Dekar
","KANOLA, ASPİR
","YOK
","HAYVANCILIK
","KİMYON
"

104,Cihanbeyli,BÜYÜKBEŞKAVAK,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","YOK
","KÜSPE, ARPA, HAZIR YEM
","YOK
","YOK
","HAYIR
","YOK
","BUĞDAY, ARPA
","0%
","SÜT, YOĞURT
","BUĞDAY, ARPA
","45 Adet
","50 Dekar
","YOK
","YOK
","YOK
","YOK
"

105,Cihanbeyli,KARATEPE,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","YOK
","KÜSPE, ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM
","YOK
","YOK
","HAYIR
","YOK
","BUĞDAY, ARPA, MERCİMEK, KİMYON, ÇÖREK OTU
","0%
","SÜT, BAL, PEYNİR
","BUĞDAY
","50 Adet
","60 Dekar
","MERCİMEK
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
","ÇÖREKOTU, KİMYON
"

106,Çumra,GÜVERCİNLİK,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, DOMATES
","YERALTI SULARI
","EVET
","VAR
","MISIR, BUĞDAY, DOMATES, ARPA, AYÇİÇEĞİ
","80%
","SÜT, YAĞ, YOĞURT, PEYNİR
","MISIR, BUĞDAY, DOMATES, ARPA
","250 Adet
","100 Dekar
","FİĞ, AYÇİÇEĞİ
","YOK
","MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
","YOK
"

107,Çumra,KARKIN,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KAVUN
","BARAJ, YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, DOMATES, ARPA, AYÇİÇEĞİ, KAVUN, FASULYE
","95%
","SÜT, YOĞURT, PEYNİR
","MISIR, BUĞDAY, DOMATES, KAVUN, ŞEKER PANCARI, KANOLA
","750 Adet
","200 Dekar
","KANOLA
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

108,Çumra,OKÇU,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","KANAL, YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, AYÇİÇEĞİ
","100%
","SÜT, BAL, YOĞURT
","MISIR, BUĞDAY, AYÇİÇEĞİ, ŞEKER PANCARI
","550 Adet
","75 Dekar
","AYÇİÇEĞİ
","YOK
","MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

109,Çumra,AFŞAR,"EVET
","BÜYÜKBAŞ
","YOK
","BUĞDAY, ARPA, HAZIR YEM
","YOK
","YOK
","HAYIR
","YOK
","BUĞDAY, ARPA
","0%
","SÜT
","BUĞDAY, ARPA
","7 Adet
","60 Dekar
","YOK
","YOK
","HAYVANCILIK
","YOK
"

110,Çumra,T.KARAHÜYÜK,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","BUĞDAY, ARPA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","BARAJ, KANAL
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, ARPA, AYÇİÇEĞİ
","95%
","SÜT, YUMURTA
","MISIR, BUĞDAY, AYÇİÇEĞİ, ŞEKER PANCARI
","550 Adet
","260 Dekar
","FİĞ, KANOLA
","YOK
","MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","NANE
"

111,Çumra,TAŞAĞIL,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","KÜSPE, ARPA, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","BARAJ, YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, FİĞ, KANOLA
","100%
","CANLI HAYVAN
","ŞEKER PANCARI
","550 Adet
","150 Dekar
","YOK
","YOK
","HAYVANCILIK
","YOK
"

112,Çumra,ÜÇHÜYÜK,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, SAMAN, HAZIR YEM
","BUĞDAY, ŞEKER PANCARI, MISIR
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","ŞEKER PANCARI, BUĞDAY, ARPA, FASULYE
","10%
","SÜT
","BUĞDAY, ARPA, ŞEKER PANCARI, FASULYE
","35 Adet
","30 Dekar
","YOK
","YOK
","YOK
","YOK
"

113,Çumra,ÜRÜNLÜ,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","YONCA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR
","YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, ARPA, ÇEREZLİK KABAK
","95%
","SÜT
","MISIR, BUĞDAY, ŞEKER PANCARI
","200 Adet
","80 Dekar
","YOK
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
","YOK
"

114,Derbent,TEKKE,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","YULAF, KÜSPE, ARPA, SAMAN
","BUĞDAY, ARPA
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, YULAF, ARPA
","10%
","SÜT, YAĞ, YOĞURT, YUMURTA
","BUĞDAY, ARPA, NOHUT
","25 Adet
","8 Dekar
","YOK
","YOK
","HAYVANCILIK, ÇİLEK YETİŞTİRİCİLİĞİ
","YOK
"

115,Derbent,SARAYPINAR,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","YULAF, FİĞ, ARPA, SAMAN, YONCA, HAZIR YEM
","ELMA, KİRAZ, VİŞNE
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, ELMA, ARPA, KİRAZ, CEVİZ, VİŞNE
","10%
","PEKMEZ
","BUĞDAY, ELMA, ARPA, KİRAZ, VİŞNE
","60 Adet
","7 Dekar
","YOK
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA
","HAŞHAŞ
"

116,Derbent,SÜLEYMAN,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, ARPA, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM
","BUĞDAY, ARPA, ŞEKER PANCARI, MISIR
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","ŞEKER PANCARI, PATATES, BUĞDAY, ÇİLEK, FASULYE
","20%
","YUMURTA
","BUĞDAY, ŞEKER PANCARI, FASULYE
","40 Adet
","30 Dekar
","FİĞ, ÇİLEK
","YOK
","MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

117,Derbent,KARALAR,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ, KANATLI HAYVAN
","ŞAHSİ KUYULAR
","FİĞ, SAMAN, YONCA, SİLAJLIK MISIR
","ÇİLEK, YONCA, FASULYE
","ŞAHSİ KUYULAR, BARAJ
","HAYIR
","VAR
","PATATES, ÇİLEK, SOĞAN, FASULYE
","60%
","SÜT, PEYNİR
","PATATES, ÇİLEK, FASULYE
","15 Adet
","15 Dekar
","ÇİLEK, BÖĞÜRTLEN
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, ÇİLEK YETİŞTİRİCİLİĞİ
","YOK
"

118,Derebucak,ÇAMLIK,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
","SAMAN, HAZIR YEM
","ELMA, DOMATES, PATATES
","ŞAHSİ KUYULAR, GÖLET
","HAYIR
","VAR
","PATATES, NOHUT, ELMA, FASULYE
","5%
","SÜT, YAĞ, YOĞURT, CANLI HAYVAN, PEYNİR
","ELMA, PATATES, NOHUT, FASULYE
","10 Adet
","10 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
","DAĞ ÇAYI, KEKİK
"

119,Derebucak,DURAK,"EVET
","BÜYÜKBAŞ
","YOK
","ARPA, SAMAN
","YOK
","YOK
","HAYIR
","YOK
","PATATES, NOHUT
","0%
","BAL
","BUĞDAY, DOMATES, CEVİZ
","2 Adet
","5 Dekar
","YOK
","YOK
","YOK
","YOK
"

120,Derebucak,GENCEK,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","ARPA, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM
","ÇİLEK, FASULYE, PATATES
","GÖLET
","HAYIR
","VAR
","PATATES, KİRAZ, ÇİLEK, FASULYE
","50%
","SÜT, PEKMEZ
","ÇİLEK
","15 Adet
","10 Dekar
","KİNOA
","YOK
","MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, BİOTEKNİK MÜCADELE VE İYİ TARIM UYGULAMALARI
","NANE, KEKİK, ADA ÇAYI
"

121,Derebucak,TEPEARASI,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","SAMAN, HAZIR YEM
","KİRAZ, DOMATES
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","DOMATES, SALATALIK, KİRAZ
","10%
","TARHANA, CANLI HAYVAN
","KİRAZ
","12 Adet
","20 Dekar
","ASPİR
","YOK
","YOK
","YOK
"

122,Doğanhisar,ÇINAROBA,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","FİĞ, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","AYÇİÇEĞİ, KİRAZ, VİŞNE, ÇİLEK, FASULYE
","GÖLET
","HAYIR
","VAR
","BUĞDAY, HAŞHAŞ, ARPA, ÇİLEK, VİŞNE
","40%
","SÜT
","BUĞDAY, HAŞHAŞ, ÇİLEK, VİŞNE, FASULYE
","200 Adet
","20 Dekar
","AYÇİÇEĞİ, ASPİR
","YOK
","MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
","ÇÖREKOTU
"

123,Emirgazi,EKİZLİ,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","HAZIR YEM
","ÜZÜM
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, ÜZÜM, ARPA, KÜLTÜR MANTARI
","5%
","PEKMEZ
","BUĞDAY, ÜZÜM, ARPA, NOHUT
","17 Adet
","12 Dekar
","KÜLTÜR MANTARI
","YOK
","HAYVANCILIK
","KEKİK
"

124,Emirgazi,BESCİ,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","BUĞDAY, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, YONCA
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, YONCA, ARPA, ÇAVDAR
","20%
","SÜT
","BUĞDAY, ARPA
","50 Adet
","40 Dekar
","TRİTİKALE
","YOK
","HAYVANCILIK
","YOK
"

125,Emirgazi,IŞIKLAR,"EVET
","BÜYÜKBAŞ, KANATLI HAYVAN
","SULAMA KOOPERATİFİ
","SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM
","MISIR
","YERALTI SULARI
","HAYIR
","VAR
","MISIR, BUĞDAY, YONCA, ARPA
","30%
","SÜT, YAĞ
","MISIR, BUĞDAY, ARPA
","20 Adet
","150 Dekar
","YOK
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
","YOK
"

126,Emirgazi,KARAÖREN,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, ÇAVDAR, HAZIR YEM
","DOMATES, BİBER, PATATES, SOĞAN
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, DOMATES, ARPA, BİBER, ÇAVDAR
","10%
","SÜT, YAĞ, YOĞURT, PEYNİR
","BUĞDAY, ARPA
","15 Adet
","30 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

127,Emirgazi,YAMAÇ,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","SAMAN, YONCA
","MISIR, YONCA
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","MISIR, BUĞDAY, YONCA, ARPA
","20%
","CANLI HAYVAN
","MISIR, BUĞDAY, ARPA
","20 Adet
","30 Dekar
","YOK
","YOK
","HAYVANCILIK
","YOK
"

128,Ereğli,ÇAKMAK,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA BİRLİĞİ, SULAMA KOOPERATİFİ
","BUĞDAY, ARPA, SAMAN
","BUĞDAY, MISIR
","ŞAHSİ KUYULAR, GÖLET, YERALTI SULARI
","HAYIR
","VAR
","MISIR, BUĞDAY, ARPA
","40%
","SÜT
","MISIR, BUĞDAY, ARPA
","150 Adet
","150 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","NANE, KEKİK
"

129,Ereğli,ÇİLLER,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
","YONCA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, KAVUN, KARPUZ, DOMATES, BİBER
","BARAJ, YERALTI SULARI
","EVET
","VAR
","DOMATES, KAVUN, BİBER, KARPUZ
","90%
","CANLI HAYVAN
","MISIR, BUĞDAY, ŞEKER PANCARI
","200 Adet
","60 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","KİMYON
"

130,Ereğli,ÇİMENCİK,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
","FİĞ, SİLAJLIK MISIR
","BUĞDAY, MISIR
","BARAJ
","HAYIR
","VAR
","MISIR, NOHUT, BUĞDAY, YONCA, ARPA, FASULYE
","95%
","SÜT, PEYNİR
","MISIR, BUĞDAY, YONCA, DOMATES, ARPA
","50 Adet
","40 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
","YOK
"

131,Ereğli,GÖKÇEYAZI,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA BİRLİĞİ
","YULAF, ARPA, YONCA, SİLAJLIK MISIR
","MISIR, KİRAZ, YONCA
","BARAJ
","HAYIR
","VAR
","MISIR, ÜZÜM, YONCA, KİRAZ
","40%
","CANLI HAYVAN
","MISIR, YONCA, KİRAZ
","50 Adet
","60 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","NANE
"

132,Ereğli,HACIMEMİŞ,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA BİRLİĞİ
","BUĞDAY, ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, KİRAZ, DOMATES
","BARAJ
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, YONCA, DOMATES, ARPA, KİRAZ
","80%
","SÜT
","MISIR, DOMATES, KİRAZ, ŞEKER PANCARI
","100 Adet
","250 Dekar
","YOK
","YOK
